MJD,g,gerr,r,rerr
58306.2,NaN,NaN,18.19,0.06
58311.2,17.9,0.08,17.9,0.09
58311.3,17.88,0.06,NaN,NaN
58314.2,17.88,0.07,17.88,0.08
58314.3,17.98,0.07,NaN,NaN
58318.3,NaN,NaN,17.94,0.06
58319.2,18.08,0.07,17.97,0.06
58321.2,NaN,NaN,17.95,0.08
58327.2,18.4,0.14,NaN,NaN
58327.3,NaN,NaN,18.15,0.11
58330.2,18.56,0.09,NaN,NaN
58330.3,NaN,NaN,18.2,0.05
58336.2,18.95,0.11,18.31,0.06
58349.2,19.63,0.19,18.54,0.11
58350.2,19.5,0.21,18.67,0.09
58353.2,NaN,NaN,18.66,0.09
58353.3,NaN,NaN,18.77,0.12
58356.2,NaN,NaN,18.69,0.1
58359.2,NaN,NaN,18.97,0.11
58362.1,NaN,NaN,18.86,0.08
58362.2,19.84,0.21,18.88,0.1
58365.1,NaN,NaN,18.91,0.1
58365.2,20.17,0.22,18.9,0.08
58368.1,NaN,NaN,19.01,0.08
58368.2,20.35,0.25,18.96,0.11
58371.1,NaN,NaN,18.96,0.09
58371.2,20.31,0.26,NaN,NaN
58374.1,NaN,NaN,19.23,0.1
58377.1,NaN,NaN,19.3,0.13
58377.2,NaN,NaN,19.22,0.11
58383.1,NaN,NaN,19.44,0.14
