MJD,g,gerr,r,rerr
58312.2,17.69,0.08,17.9,0.07
58315.2,17.63,0.07,17.71,0.08
58327.3,NaN,NaN,17.91,0.08
58329.2,18.21,0.16,NaN,NaN
58330.3,NaN,NaN,17.98,0.09
58332.2,18.31,0.08,NaN,NaN
58332.3,NaN,NaN,18.13,0.08
58333.2,NaN,NaN,18.1,0.08
58336.2,18.54,0.09,18.18,0.09
58339.2,NaN,NaN,18.3,0.08
58343.2,18.95,0.11,18.42,0.11
58346.2,19.05,0.14,18.32,0.1
58353.2,NaN,NaN,18.5,0.11
58357.2,NaN,NaN,18.46,0.12
58360.2,NaN,NaN,18.48,0.13
58363.2,19.96,0.21,18.53,0.11
58364.1,NaN,NaN,18.6,0.11
58364.2,19.44,0.13,NaN,NaN
58368.1,NaN,NaN,18.71,0.09
58369.1,NaN,NaN,18.7,0.12
58373.1,NaN,NaN,18.68,0.11
