MJD,g,gerr,r,rerr
58340.3,18.05,0.09,NaN,NaN
58344.2,17.2,0.04,NaN,NaN
58348.2,17.26,0.05,NaN,NaN
58351.2,17.27,0.05,NaN,NaN
58360.2,17.47,0.05,17.2,0.06
58363.2,17.59,0.05,17.18,0.04
58366.2,17.66,0.05,NaN,NaN
58369.2,17.82,0.06,17.22,0.03
58372.2,17.94,0.05,17.26,0.04
58375.2,18.08,0.05,17.31,0.03
58378.1,NaN,NaN,17.35,0.05
58378.2,18.24,0.06,NaN,NaN
58381.2,18.33,0.07,NaN,NaN
58384.1,NaN,NaN,17.45,0.04
58384.2,18.5,0.13,NaN,NaN
58387.1,NaN,NaN,17.52,0.06
58387.2,18.5,0.11,NaN,NaN
58390.1,18.63,0.07,NaN,NaN
58390.2,NaN,NaN,17.56,0.05
58424.1,NaN,NaN,17.78,0.16
58427.1,19.39,0.16,18.14,0.1
58430.1,19.69,0.14,18.09,0.06
58433.1,NaN,NaN,18.13,0.07
