MJD,g,gerr,r,rerr
58352.4,18.28,0.06,NaN,NaN
58352.5,NaN,NaN,18.37,0.07
58355.5,NaN,NaN,17.84,0.05
58358.4,NaN,NaN,17.63,0.05
58361.4,17.77,0.05,17.6,0.04
58364.3,NaN,NaN,17.58,0.03
58367.3,17.93,0.05,NaN,NaN
58367.4,NaN,NaN,17.54,0.05
58370.4,17.98,0.07,17.57,0.03
58373.3,NaN,NaN,17.55,0.03
58373.4,18.04,0.05,NaN,NaN
58376.3,18.14,0.05,NaN,NaN
58376.4,NaN,NaN,17.59,0.04
58379.4,18.28,0.07,17.59,0.04
58382.3,NaN,NaN,17.67,0.04
58382.4,18.45,0.05,NaN,NaN
58385.3,NaN,NaN,17.69,0.05
58385.4,18.6,0.1,NaN,NaN
58388.3,18.63,0.09,17.77,0.05
58397.4,18.9,0.08,NaN,NaN
58400.2,NaN,NaN,17.86,0.05
58400.3,18.94,0.08,NaN,NaN
58423.2,19.33,0.13,NaN,NaN
58423.3,NaN,NaN,18.12,0.06
58426.2,19.49,0.14,NaN,NaN
58426.3,NaN,NaN,18.12,0.05
58429.2,19.45,0.12,NaN,NaN
58429.3,NaN,NaN,18.12,0.06
58432.3,NaN,NaN,18.14,0.05
58435.2,19.52,0.14,NaN,NaN
58435.3,NaN,NaN,18.22,0.07
58441.3,NaN,NaN,18.28,0.08
58447.3,NaN,NaN,18.5,0.1
58456.2,NaN,NaN,18.7,0.08
58464.3,NaN,NaN,19.05,0.1
58468.3,NaN,NaN,19.44,0.12
58490.1,NaN,NaN,19.94,0.16
