MJD,g,gerr,r,rerr
58358.4,NaN,NaN,17.95,0.06
58361.3,NaN,NaN,16.79,0.04
58361.4,16.66,0.04,NaN,NaN
58364.3,16.45,0.03,16.53,0.03
58367.3,16.41,0.03,NaN,NaN
58367.4,NaN,NaN,16.42,0.03
58370.4,16.43,0.04,16.35,0.05
58373.3,NaN,NaN,16.36,0.04
58373.4,16.54,0.03,NaN,NaN
58376.3,16.61,0.05,NaN,NaN
58376.4,NaN,NaN,16.34,0.04
58379.4,16.72,0.03,16.35,0.03
58382.3,NaN,NaN,16.41,0.03
58382.4,16.9,0.03,NaN,NaN
58385.3,NaN,NaN,16.44,0.03
58385.4,17.01,0.04,NaN,NaN
58388.3,17.15,0.05,16.45,0.04
58397.4,17.5,0.04,NaN,NaN
58400.2,NaN,NaN,16.7,0.03
58400.3,17.64,0.05,NaN,NaN
58423.2,18.14,0.06,NaN,NaN
58423.3,NaN,NaN,17.04,0.03
58426.2,18.31,0.08,17.09,0.04
58429.2,18.29,0.07,NaN,NaN
58429.3,NaN,NaN,17.1,0.04
58432.3,NaN,NaN,17.17,0.04
58435.2,18.31,0.1,NaN,NaN
58435.3,NaN,NaN,17.19,0.04
58438.4,18.46,0.15,NaN,NaN
58441.3,NaN,NaN,17.25,0.05
58447.3,NaN,NaN,17.44,0.07
58456.2,NaN,NaN,17.54,0.04
58464.3,NaN,NaN,17.93,0.06
58471.1,NaN,NaN,18.41,0.09
58474.1,NaN,NaN,18.76,0.08
58490.1,NaN,NaN,19.47,0.13
