MJD,g,gerr,r,rerr
58434.4,19.36,0.12,19.6,0.23
58435.3,NaN,NaN,19.25,0.18
58436.3,NaN,NaN,19.22,0.16
58437.4,19.07,0.12,19.12,0.12
58438.4,18.94,0.2,NaN,NaN
58440.4,18.94,0.16,NaN,NaN
58443.4,NaN,NaN,18.98,0.1
58443.5,19.03,0.1,NaN,NaN
58447.3,NaN,NaN,18.96,0.15
58447.4,NaN,NaN,19.04,0.21
58450.4,19.15,0.1,18.89,0.11
58455.3,NaN,NaN,19.01,0.1
58455.4,NaN,NaN,18.89,0.1
58455.5,NaN,NaN,18.89,0.13
58461.5,NaN,NaN,18.97,0.12
58464.3,19.82,0.13,19.02,0.1
58465.2,19.73,0.16,NaN,NaN
58465.5,NaN,NaN,19.07,0.11
58468.4,19.94,0.16,NaN,NaN
58468.5,NaN,NaN,19.12,0.09
58471.2,NaN,NaN,19.08,0.14
58471.3,NaN,NaN,19.06,0.15
58472.3,NaN,NaN,19.12,0.13
58474.3,NaN,NaN,19.3,0.17
58480.3,20.49,0.3,19.29,0.11
58486.4,NaN,NaN,19.39,0.19
58490.2,NaN,NaN,19.37,0.12
58493.2,NaN,NaN,19.48,0.12
58493.3,NaN,NaN,19.55,0.13
58504.3,NaN,NaN,19.81,0.28
58506.2,NaN,NaN,19.89,0.29
58507.3,NaN,NaN,19.8,0.16
58509.3,NaN,NaN,19.61,0.16
58540.2,20.37,0.18,NaN,NaN
