MJD,g,gerr,r,rerr
58443.4,NaN,NaN,18.34,0.09
58443.5,17.83,0.06,NaN,NaN
58450.4,NaN,NaN,17.04,0.04
58450.5,16.96,0.03,NaN,NaN
58455.4,NaN,NaN,16.93,0.05
58455.5,NaN,NaN,16.97,0.05
58462.3,NaN,NaN,17.09,0.05
58465.2,17.26,0.05,NaN,NaN
58465.5,NaN,NaN,17.1,0.04
58468.4,17.37,0.04,NaN,NaN
58468.5,NaN,NaN,17.14,0.04
58471.3,NaN,NaN,17.15,0.04
58474.3,NaN,NaN,17.21,0.05
58480.3,NaN,NaN,17.26,0.05
58480.5,17.89,0.08,NaN,NaN
58487.4,18.03,0.08,NaN,NaN
58490.2,NaN,NaN,17.41,0.04
58493.2,18.23,0.07,NaN,NaN
58493.3,NaN,NaN,17.4,0.04
58505.1,NaN,NaN,17.5,0.05
58505.2,18.53,0.15,NaN,NaN
58508.2,18.52,0.09,17.54,0.05
58511.2,18.52,0.08,17.58,0.05
58522.2,NaN,NaN,17.67,0.05
58534.2,18.89,0.23,17.77,0.1
58538.2,NaN,NaN,17.96,0.27
58540.2,NaN,NaN,17.89,0.06
58556.2,NaN,NaN,18.28,0.09
58560.1,NaN,NaN,18.38,0.08
58567.1,NaN,NaN,18.99,0.12
58599.2,NaN,NaN,19.87,0.2
