MJD,g,gerr,r,rerr
58464.5,18.48,0.06,NaN,NaN
58467.5,18.57,0.19,18.41,0.08
58472.4,NaN,NaN,18.37,0.07
58472.5,18.43,0.11,NaN,NaN
58475.5,18.51,0.1,NaN,NaN
58476.5,NaN,NaN,18.33,0.09
58480.5,18.67,0.12,18.19,0.07
58481.5,NaN,NaN,18.24,0.06
58482.6,18.62,0.09,NaN,NaN
58487.4,NaN,NaN,18.26,0.07
58487.5,18.75,0.07,NaN,NaN
58491.5,18.93,0.1,NaN,NaN
58493.5,NaN,NaN,18.27,0.05
58494.5,19.01,0.11,NaN,NaN
58502.5,NaN,NaN,18.24,0.1
58505.5,NaN,NaN,18.36,0.19
58508.5,19.22,0.25,NaN,NaN
58511.4,19.19,0.12,18.32,0.07
58524.4,NaN,NaN,18.4,0.07
58538.2,NaN,NaN,18.28,0.19
58556.3,19.8,0.24,NaN,NaN
58559.2,NaN,NaN,18.64,0.11
58567.2,NaN,NaN,18.95,0.09
58572.2,NaN,NaN,18.93,0.19
