MJD,g,gerr,r,rerr
58543.4,NaN,NaN,17.94,0.2
58557.3,18.6,0.12,NaN,NaN
58557.4,18.62,0.1,18.33,0.1
58560.4,NaN,NaN,18.21,0.06
58568.3,NaN,NaN,18.21,0.3
58568.4,18.85,0.12,NaN,NaN
58568.5,NaN,NaN,18.28,0.07
58573.3,19.05,0.12,NaN,NaN
58573.4,19.03,0.1,18.33,0.08
58577.4,NaN,NaN,18.18,0.25
58581.3,19.11,0.14,NaN,NaN
58581.4,NaN,NaN,18.33,0.07
58584.2,19.0,0.13,NaN,NaN
58584.4,NaN,NaN,18.35,0.06
58587.3,NaN,NaN,18.32,0.1
58587.4,19.09,0.2,NaN,NaN
58588.4,NaN,NaN,18.3,0.07
58591.2,19.03,0.25,NaN,NaN
58591.4,NaN,NaN,18.31,0.08
58594.3,19.08,0.22,NaN,NaN
58597.4,NaN,NaN,18.3,0.05
58597.5,19.17,0.12,NaN,NaN
58606.3,NaN,NaN,18.4,0.06
58606.4,NaN,NaN,18.41,0.07
58606.5,19.37,0.1,NaN,NaN
58617.3,NaN,NaN,18.51,0.08
58617.4,19.57,0.17,18.46,0.08
58628.4,19.87,0.25,18.61,0.09
58634.2,19.87,0.14,NaN,NaN
58634.3,NaN,NaN,18.77,0.07
58634.5,20.08,0.16,NaN,NaN
58637.3,NaN,NaN,18.98,0.1
58637.4,20.13,0.17,NaN,NaN
58640.3,NaN,NaN,19.04,0.12
58640.4,20.5,0.26,NaN,NaN
58643.3,20.51,0.22,19.44,0.15
58646.2,NaN,NaN,19.52,0.2
58649.3,NaN,NaN,19.7,0.22
