MJD,g,gerr,r,rerr
58556.2,NaN,NaN,18.5,0.12
58559.2,NaN,NaN,18.54,0.07
58559.3,18.64,0.12,NaN,NaN
58562.2,18.73,0.17,NaN,NaN
58567.2,18.85,0.11,18.5,0.06
58572.2,NaN,NaN,18.57,0.11
58575.2,NaN,NaN,18.57,0.1
58575.3,18.92,0.09,NaN,NaN
58580.2,NaN,NaN,18.54,0.06
58584.2,19.19,0.13,NaN,NaN
58589.2,NaN,NaN,18.5,0.17
58591.3,NaN,NaN,18.6,0.13
58593.3,NaN,NaN,18.76,0.15
58594.2,19.2,0.12,18.55,0.06
58598.2,19.24,0.12,NaN,NaN
58601.3,NaN,NaN,18.6,0.08
58605.2,19.4,0.12,NaN,NaN
58608.2,19.43,0.11,NaN,NaN
58617.2,19.51,0.2,18.7,0.11
58618.3,NaN,NaN,18.58,0.1
58634.2,19.75,0.16,18.84,0.1
58638.2,NaN,NaN,18.85,0.13
58642.2,NaN,NaN,18.91,0.09
