MJD,g,gerr,r,rerr
58556.5,NaN,NaN,18.77,0.07
58560.4,NaN,NaN,18.69,0.08
58560.5,18.72,0.09,NaN,NaN
58568.4,18.79,0.1,NaN,NaN
58568.5,NaN,NaN,18.54,0.09
58572.5,18.93,0.08,18.62,0.08
58575.5,19.01,0.12,NaN,NaN
58580.5,19.11,0.12,18.61,0.11
58583.4,19.31,0.13,NaN,NaN
58586.4,19.35,0.12,18.74,0.08
58597.4,NaN,NaN,18.77,0.09
58597.5,19.7,0.17,NaN,NaN
58600.4,19.73,0.14,NaN,NaN
58605.4,NaN,NaN,18.89,0.08
58608.4,19.87,0.18,18.8,0.07
58612.3,NaN,NaN,18.98,0.1
58616.4,NaN,NaN,19.09,0.09
58628.3,NaN,NaN,19.19,0.13
58632.3,20.36,0.17,19.2,0.1
58635.2,20.38,0.21,NaN,NaN
58635.3,NaN,NaN,19.28,0.1
58638.3,20.45,0.25,19.26,0.09
58641.2,20.39,0.26,NaN,NaN
58641.3,NaN,NaN,19.29,0.09
58644.3,NaN,NaN,19.3,0.13
58647.2,NaN,NaN,19.43,0.13
58650.2,NaN,NaN,19.43,0.23
58657.2,20.61,0.29,19.55,0.13
58660.2,20.77,0.29,19.65,0.11
58663.2,NaN,NaN,19.71,0.18
58666.3,NaN,NaN,19.92,0.15
58669.2,NaN,NaN,19.92,0.19
