MJD,g,gerr,r,rerr
58557.3,NaN,NaN,18.95,0.11
58558.2,NaN,NaN,18.83,0.11
58560.2,18.61,0.11,NaN,NaN
58561.2,18.6,0.13,NaN,NaN
58562.2,18.4,0.28,NaN,NaN
58562.3,18.19,0.21,NaN,NaN
58567.2,NaN,NaN,18.56,0.06
58567.3,18.62,0.07,NaN,NaN
58567.5,18.51,0.17,NaN,NaN
58572.3,18.76,0.09,18.45,0.07
58574.2,NaN,NaN,18.66,0.29
58575.2,NaN,NaN,18.45,0.13
58575.3,18.93,0.08,NaN,NaN
58580.2,19.13,0.11,18.49,0.07
58580.3,19.14,0.09,NaN,NaN
58582.2,NaN,NaN,18.52,0.06
58583.3,NaN,NaN,18.57,0.08
58585.2,19.31,0.12,NaN,NaN
58586.2,19.36,0.16,18.64,0.07
58587.2,19.25,0.16,NaN,NaN
58592.3,NaN,NaN,18.53,0.09
58593.3,NaN,NaN,18.59,0.09
58596.2,19.59,0.11,NaN,NaN
58599.2,19.7,0.14,18.76,0.08
58601.2,19.73,0.17,NaN,NaN
58602.2,19.53,0.22,NaN,NaN
58602.3,NaN,NaN,18.73,0.08
58606.2,NaN,NaN,18.85,0.07
58609.2,19.83,0.14,NaN,NaN
58612.2,NaN,NaN,18.91,0.07
58612.3,19.79,0.13,NaN,NaN
58618.2,NaN,NaN,18.84,0.1
58619.2,NaN,NaN,18.91,0.15
58628.2,20.04,0.14,NaN,NaN
58628.3,NaN,NaN,18.92,0.09
58633.2,19.99,0.13,19.0,0.09
58636.2,20.21,0.18,NaN,NaN
58639.2,20.22,0.16,19.08,0.08
58642.2,20.18,0.2,19.14,0.09
58648.2,NaN,NaN,19.23,0.15
58654.2,NaN,NaN,19.41,0.1
58658.2,20.86,0.28,19.66,0.12
58661.2,NaN,NaN,19.66,0.15
58667.2,NaN,NaN,20.08,0.19
