MJD,g,gerr,r,rerr
58557.5,NaN,NaN,16.78,0.03
58560.4,NaN,NaN,16.46,0.03
58568.4,16.1,0.04,NaN,NaN
58568.5,NaN,NaN,16.21,0.03
58573.5,16.29,0.03,NaN,NaN
58577.4,NaN,NaN,16.56,0.13
58581.4,NaN,NaN,16.51,0.05
58581.5,16.59,0.04,NaN,NaN
58584.4,NaN,NaN,16.59,0.04
58584.5,16.69,0.04,NaN,NaN
58587.4,16.78,0.05,16.67,0.03
58591.4,NaN,NaN,16.71,0.04
58596.4,NaN,NaN,16.79,0.04
58596.5,17.06,0.04,NaN,NaN
58600.5,NaN,NaN,16.89,0.04
58605.4,NaN,NaN,16.94,0.04
58608.4,17.35,0.05,16.99,0.04
58612.5,NaN,NaN,17.05,0.04
58616.4,NaN,NaN,17.1,0.04
58627.4,NaN,NaN,17.28,0.04
58633.3,NaN,NaN,17.35,0.04
58633.4,17.94,0.05,NaN,NaN
58636.3,NaN,NaN,17.42,0.04
58639.3,NaN,NaN,17.46,0.05
58639.4,18.08,0.06,NaN,NaN
58642.4,NaN,NaN,17.53,0.04
58645.3,NaN,NaN,17.59,0.05
58648.3,NaN,NaN,17.63,0.05
58648.4,18.35,0.08,NaN,NaN
58651.3,NaN,NaN,17.7,0.05
58651.4,18.44,0.1,NaN,NaN
58654.3,18.52,0.09,NaN,NaN
58654.4,NaN,NaN,17.79,0.06
58655.3,18.58,0.13,NaN,NaN
58657.4,18.63,0.11,17.89,0.06
58658.4,18.65,0.09,17.9,0.05
58660.3,NaN,NaN,17.99,0.06
58660.4,18.79,0.1,NaN,NaN
58661.3,NaN,NaN,17.97,0.05
58662.2,18.85,0.09,NaN,NaN
58663.3,NaN,NaN,18.03,0.06
58663.4,18.86,0.1,NaN,NaN
58665.2,18.94,0.09,NaN,NaN
58665.4,NaN,NaN,18.12,0.06
58668.3,19.13,0.1,18.24,0.07
58674.3,19.94,0.14,18.84,0.07
58677.3,NaN,NaN,19.62,0.17
