MJD,g,gerr,r,rerr
58562.3,18.85,0.25,NaN,NaN
58562.4,NaN,NaN,19.29,0.3
58567.3,18.75,0.12,NaN,NaN
58567.4,NaN,NaN,18.9,0.09
58572.3,18.81,0.11,18.87,0.11
58575.3,18.86,0.08,NaN,NaN
58575.4,NaN,NaN,18.87,0.09
58580.3,18.96,0.08,18.85,0.11
58580.4,NaN,NaN,18.82,0.07
58582.2,NaN,NaN,18.95,0.07
58584.3,19.18,0.13,18.95,0.09
58587.2,19.86,0.22,NaN,NaN
58587.3,19.3,0.13,19.03,0.11
58591.4,NaN,NaN,18.98,0.15
58593.3,NaN,NaN,19.0,0.13
58594.2,19.43,0.21,NaN,NaN
58594.3,NaN,NaN,19.14,0.17
58597.3,19.55,0.13,NaN,NaN
58597.4,NaN,NaN,19.08,0.08
58600.2,19.58,0.12,NaN,NaN
58606.2,NaN,NaN,19.14,0.11
58606.3,NaN,NaN,19.15,0.12
58606.4,19.78,0.15,NaN,NaN
58608.3,NaN,NaN,19.1,0.12
58612.3,20.07,0.14,NaN,NaN
58616.2,NaN,NaN,19.32,0.14
58628.3,NaN,NaN,19.35,0.12
58633.2,NaN,NaN,19.43,0.14
58633.3,20.19,0.15,NaN,NaN
58636.2,NaN,NaN,19.47,0.11
58639.2,NaN,NaN,19.4,0.12
58642.2,NaN,NaN,19.44,0.14
58648.2,NaN,NaN,19.62,0.19
58651.2,NaN,NaN,19.4,0.19
58654.2,NaN,NaN,19.56,0.15
58657.3,NaN,NaN,19.78,0.22
58660.2,NaN,NaN,19.62,0.13
58665.3,NaN,NaN,19.63,0.14
58674.2,NaN,NaN,19.93,0.22
