MJD,g,gerr,r,rerr
58567.5,19.06,0.14,19.29,0.11
58572.4,18.7,0.09,NaN,NaN
58572.5,NaN,NaN,18.61,0.07
58575.4,18.53,0.11,18.55,0.06
58580.4,18.66,0.08,NaN,NaN
58580.5,NaN,NaN,18.52,0.06
58583.3,NaN,NaN,18.56,0.07
58586.4,18.74,0.06,18.48,0.07
58596.3,NaN,NaN,18.54,0.06
58596.4,18.99,0.1,NaN,NaN
58605.4,NaN,NaN,18.58,0.05
58608.3,19.17,0.1,NaN,NaN
58608.4,NaN,NaN,18.65,0.09
58612.4,NaN,NaN,18.62,0.04
58616.3,19.28,0.14,NaN,NaN
58616.4,NaN,NaN,18.63,0.08
58619.3,NaN,NaN,18.6,0.11
58627.4,NaN,NaN,18.59,0.06
58632.3,NaN,NaN,18.66,0.06
58632.4,19.42,0.13,NaN,NaN
58635.2,19.47,0.09,NaN,NaN
58635.3,NaN,NaN,18.76,0.05
58638.3,19.46,0.1,18.73,0.06
58641.2,19.58,0.12,NaN,NaN
58641.3,NaN,NaN,18.67,0.05
58644.2,19.5,0.12,NaN,NaN
58644.3,NaN,NaN,18.75,0.06
58647.2,19.64,0.17,NaN,NaN
58647.3,NaN,NaN,18.69,0.06
58650.2,19.78,0.23,NaN,NaN
58650.3,NaN,NaN,18.72,0.08
58653.2,NaN,NaN,18.87,0.09
58653.3,19.95,0.24,NaN,NaN
58654.2,NaN,NaN,18.71,0.06
58654.3,19.68,0.16,NaN,NaN
58655.2,NaN,NaN,18.74,0.09
58655.3,19.75,0.22,NaN,NaN
58657.2,19.69,0.14,NaN,NaN
58657.4,NaN,NaN,18.8,0.12
58658.2,19.72,0.12,NaN,NaN
58660.2,19.85,0.14,NaN,NaN
58661.3,NaN,NaN,18.83,0.09
58662.2,19.86,0.14,18.88,0.08
58663.2,19.87,0.19,NaN,NaN
58663.3,NaN,NaN,18.85,0.09
58665.2,19.94,0.15,NaN,NaN
58665.4,NaN,NaN,18.9,0.09
58668.3,NaN,NaN,18.96,0.07
58671.2,NaN,NaN,19.0,0.08
58671.3,20.12,0.15,NaN,NaN
58674.2,20.05,0.18,NaN,NaN
58677.2,NaN,NaN,19.14,0.11
58677.3,20.27,0.27,NaN,NaN
58678.2,NaN,NaN,19.19,0.12
58679.2,NaN,NaN,19.2,0.12
58680.3,NaN,NaN,19.35,0.11
58681.3,NaN,NaN,19.24,0.13
58682.2,20.26,0.25,NaN,NaN
58683.2,NaN,NaN,19.2,0.1
58684.2,NaN,NaN,19.34,0.12
58685.3,NaN,NaN,19.48,0.13
58690.2,NaN,NaN,19.7,0.13
58691.2,NaN,NaN,19.77,0.1
