MJD,g,gerr,r,rerr
58568.4,18.1,0.09,18.36,0.29
58572.4,18.1,0.07,18.09,0.05
58575.4,NaN,NaN,18.14,0.05
58575.5,18.22,0.08,NaN,NaN
58580.3,NaN,NaN,18.28,0.06
58580.4,NaN,NaN,18.21,0.06
58580.5,18.3,0.11,NaN,NaN
58583.4,18.55,0.07,18.26,0.09
58586.3,NaN,NaN,18.27,0.06
58589.2,NaN,NaN,18.34,0.08
58592.4,18.96,0.16,NaN,NaN
58593.3,NaN,NaN,18.41,0.08
58596.3,NaN,NaN,18.44,0.08
58596.4,19.13,0.12,NaN,NaN
58606.3,NaN,NaN,18.62,0.09
58606.4,NaN,NaN,18.68,0.07
58608.3,NaN,NaN,18.67,0.09
58612.3,19.75,0.12,NaN,NaN
58616.3,19.92,0.2,NaN,NaN
58616.4,NaN,NaN,18.8,0.11
58617.3,NaN,NaN,18.87,0.09
58618.2,NaN,NaN,18.9,0.12
58632.3,NaN,NaN,19.03,0.09
58632.4,20.32,0.19,NaN,NaN
58635.2,20.26,0.14,NaN,NaN
58635.3,NaN,NaN,19.11,0.08
58638.3,20.4,0.19,19.2,0.09
58641.2,20.46,0.28,NaN,NaN
58641.3,NaN,NaN,19.21,0.09
58657.3,NaN,NaN,19.46,0.13
58660.2,NaN,NaN,19.58,0.1
