MJD,g,gerr,r,rerr
58580.4,17.78,0.05,NaN,NaN
58580.5,NaN,NaN,17.97,0.05
58583.4,17.74,0.05,NaN,NaN
58586.4,17.68,0.04,17.73,0.06
58596.4,NaN,NaN,17.69,0.06
58596.5,17.81,0.05,NaN,NaN
58605.4,NaN,NaN,17.67,0.05
58608.3,18.13,0.07,NaN,NaN
58608.4,NaN,NaN,17.73,0.06
58612.4,NaN,NaN,17.74,0.04
58616.4,18.2,0.05,17.73,0.05
58619.3,18.22,0.13,NaN,NaN
58619.4,NaN,NaN,17.74,0.08
58627.4,NaN,NaN,17.73,0.06
58632.3,NaN,NaN,17.69,0.05
58632.4,18.34,0.06,NaN,NaN
58635.2,18.33,0.06,NaN,NaN
58635.3,NaN,NaN,17.7,0.04
58638.3,18.38,0.06,17.71,0.05
58641.2,18.36,0.07,NaN,NaN
58641.3,NaN,NaN,17.71,0.06
58644.2,18.37,0.07,NaN,NaN
58644.3,NaN,NaN,17.69,0.05
58647.2,18.38,0.07,NaN,NaN
58647.3,NaN,NaN,17.72,0.05
58650.2,18.36,0.08,NaN,NaN
58650.3,NaN,NaN,17.69,0.06
58653.2,NaN,NaN,17.7,0.06
58653.3,18.34,0.1,NaN,NaN
58657.2,18.4,0.07,NaN,NaN
58657.4,NaN,NaN,17.71,0.05
58660.2,18.4,0.07,17.7,0.04
58663.3,NaN,NaN,17.69,0.05
58666.2,18.5,0.08,NaN,NaN
58666.3,NaN,NaN,17.76,0.06
58669.2,18.55,0.07,NaN,NaN
58669.3,NaN,NaN,17.76,0.05
58672.2,NaN,NaN,17.76,0.05
58672.3,18.59,0.06,NaN,NaN
58675.3,18.64,0.08,17.8,0.06
58678.2,NaN,NaN,17.9,0.06
58678.3,18.83,0.12,NaN,NaN
58681.2,18.77,0.1,NaN,NaN
58681.3,NaN,NaN,17.97,0.07
58684.2,18.97,0.1,18.03,0.05
58688.2,19.15,0.11,NaN,NaN
58691.2,19.39,0.11,18.34,0.08
58694.2,19.7,0.13,NaN,NaN
58697.2,19.92,0.15,18.8,0.1
58700.2,NaN,NaN,19.08,0.1
58704.2,NaN,NaN,19.31,0.11
58707.2,NaN,NaN,19.31,0.15
58723.1,NaN,NaN,19.63,0.19
58723.2,20.87,0.29,NaN,NaN
58726.1,NaN,NaN,19.59,0.15
58734.1,NaN,NaN,19.92,0.2
58737.2,NaN,NaN,19.92,0.2
58744.1,NaN,NaN,19.72,0.16
