MJD,g,gerr,r,rerr
58580.5,NaN,NaN,19.09,0.12
58583.4,18.86,0.11,NaN,NaN
58586.4,18.76,0.07,18.77,0.1
58589.3,NaN,NaN,18.84,0.23
58597.4,NaN,NaN,18.72,0.09
58597.5,18.97,0.11,NaN,NaN
58600.4,19.11,0.09,NaN,NaN
58605.4,NaN,NaN,18.71,0.1
58608.3,19.37,0.11,18.77,0.09
58616.4,NaN,NaN,18.8,0.08
58632.3,19.84,0.15,18.98,0.09
58633.4,NaN,NaN,18.98,0.11
58635.2,19.98,0.13,NaN,NaN
58635.3,NaN,NaN,19.07,0.1
58638.3,NaN,NaN,19.01,0.1
58638.4,19.88,0.17,NaN,NaN
58641.2,20.05,0.28,NaN,NaN
58644.2,19.98,0.19,NaN,NaN
58644.3,NaN,NaN,19.09,0.11
58645.2,20.13,0.21,NaN,NaN
58647.2,20.14,0.27,19.19,0.14
58650.2,NaN,NaN,19.27,0.16
58653.2,NaN,NaN,19.18,0.1
58657.2,20.43,0.21,19.29,0.1
58660.2,20.3,0.19,19.37,0.09
58663.3,NaN,NaN,19.45,0.15
58666.2,20.63,0.25,NaN,NaN
58666.3,NaN,NaN,19.59,0.13
58669.2,NaN,NaN,19.56,0.16
58672.2,NaN,NaN,19.72,0.15
