MJD,g,gerr,r,rerr
58586.3,NaN,NaN,18.59,0.08
58588.2,18.29,0.3,NaN,NaN
58589.2,NaN,NaN,18.17,0.09
58589.3,NaN,NaN,17.98,0.19
58592.4,17.98,0.08,NaN,NaN
58593.3,NaN,NaN,18.04,0.07
58596.2,18.08,0.07,NaN,NaN
58596.3,NaN,NaN,18.06,0.08
58600.2,18.23,0.09,NaN,NaN
58600.3,NaN,NaN,18.18,0.06
58602.3,NaN,NaN,18.32,0.09
58606.2,NaN,NaN,18.29,0.07
58606.4,18.45,0.06,NaN,NaN
58608.3,NaN,NaN,18.31,0.07
58612.2,NaN,NaN,18.34,0.08
58612.3,18.68,0.09,NaN,NaN
58616.2,18.78,0.1,18.38,0.08
58618.2,NaN,NaN,18.44,0.1
58619.2,19.09,0.21,NaN,NaN
58628.3,NaN,NaN,18.61,0.09
58633.2,19.11,0.11,18.55,0.07
58636.2,NaN,NaN,18.61,0.1
58636.3,19.33,0.1,NaN,NaN
58639.2,19.31,0.09,NaN,NaN
58642.2,19.32,0.12,18.66,0.09
58645.2,19.39,0.16,NaN,NaN
58645.3,NaN,NaN,18.69,0.09
58648.2,19.62,0.22,18.69,0.11
58651.2,19.58,0.25,18.9,0.12
58654.2,NaN,NaN,18.84,0.08
58654.3,19.68,0.22,NaN,NaN
58657.2,19.73,0.17,NaN,NaN
58657.3,NaN,NaN,18.89,0.1
58660.2,NaN,NaN,19.05,0.07
58663.2,NaN,NaN,19.17,0.12
58667.2,20.44,0.21,19.45,0.11
58670.2,NaN,NaN,19.57,0.15
