MJD,g,gerr,r,rerr
58591.3,18.54,0.17,NaN,NaN
58591.4,NaN,NaN,18.4,0.12
58594.2,18.37,0.08,NaN,NaN
58594.3,NaN,NaN,18.06,0.1
58597.3,18.39,0.06,NaN,NaN
58597.4,NaN,NaN,18.04,0.06
58600.2,18.43,0.07,NaN,NaN
58606.3,NaN,NaN,18.25,0.06
58606.4,18.63,0.07,NaN,NaN
58612.2,NaN,NaN,18.27,0.06
58612.3,18.79,0.06,NaN,NaN
58616.2,18.89,0.1,NaN,NaN
58616.3,NaN,NaN,18.35,0.08
58622.2,19.26,0.28,NaN,NaN
58628.2,19.18,0.08,NaN,NaN
58633.2,NaN,NaN,18.48,0.08
58633.3,19.43,0.09,NaN,NaN
58636.2,NaN,NaN,18.48,0.07
58636.3,19.37,0.09,NaN,NaN
58639.2,19.42,0.1,18.43,0.08
58642.2,19.49,0.11,18.47,0.07
58645.2,19.39,0.16,NaN,NaN
58648.2,NaN,NaN,18.51,0.11
58651.2,19.51,0.25,NaN,NaN
58654.2,19.47,0.14,18.45,0.08
58657.2,19.63,0.12,NaN,NaN
58657.3,NaN,NaN,18.57,0.08
58660.2,NaN,NaN,18.53,0.07
58663.2,NaN,NaN,18.54,0.07
58666.2,19.73,0.14,NaN,NaN
58670.2,19.86,0.2,18.47,0.08
58673.2,19.86,0.17,NaN,NaN
58676.2,19.84,0.23,18.65,0.11
58679.2,NaN,NaN,18.65,0.1
58682.2,NaN,NaN,18.82,0.12
58685.2,20.1,0.15,NaN,NaN
58692.2,20.09,0.21,NaN,NaN
