MJD,g,gerr,r,rerr
58612.2,18.16,0.08,18.46,0.08
58617.2,17.98,0.08,18.22,0.09
58633.2,18.09,0.06,18.03,0.06
58636.2,NaN,NaN,18.03,0.06
58639.2,18.42,0.07,18.0,0.06
58642.2,18.56,0.06,18.03,0.06
58648.2,NaN,NaN,18.07,0.07
58651.2,18.77,0.15,18.21,0.1
58654.2,19.14,0.13,18.26,0.07
58658.2,19.17,0.1,18.25,0.07
58661.2,19.24,0.11,18.33,0.06
58667.2,19.48,0.13,18.42,0.08
58670.2,19.63,0.16,NaN,NaN
58676.2,19.59,0.26,18.45,0.09
58679.2,19.82,0.3,18.47,0.13
58683.2,19.76,0.17,NaN,NaN
58686.2,19.88,0.29,18.53,0.1
58692.2,19.74,0.17,18.5,0.12
