MJD,g,gerr,r,rerr
58616.4,NaN,NaN,19.21,0.11
58616.5,19.05,0.09,NaN,NaN
58618.3,NaN,NaN,18.92,0.11
58619.4,NaN,NaN,18.73,0.22
58627.4,NaN,NaN,18.52,0.11
58632.4,18.88,0.09,NaN,NaN
58632.5,NaN,NaN,18.57,0.09
58635.4,NaN,NaN,18.61,0.07
58635.5,18.92,0.08,NaN,NaN
58638.5,19.05,0.08,18.61,0.07
58641.5,NaN,NaN,18.63,0.06
58644.4,19.24,0.11,NaN,NaN
58644.5,NaN,NaN,18.64,0.07
58647.3,NaN,NaN,18.72,0.12
58647.4,19.61,0.18,NaN,NaN
58650.4,NaN,NaN,18.8,0.11
58650.5,19.56,0.16,NaN,NaN
58653.4,19.6,0.19,18.78,0.12
58654.4,NaN,NaN,18.98,0.17
58655.3,19.58,0.25,18.84,0.12
58657.4,19.79,0.2,18.93,0.11
58658.4,19.76,0.12,18.86,0.11
58660.3,NaN,NaN,18.9,0.09
58660.4,19.95,0.12,NaN,NaN
58661.4,19.95,0.12,19.04,0.11
58662.3,NaN,NaN,18.95,0.12
58663.4,19.96,0.19,18.85,0.08
58665.2,19.96,0.18,NaN,NaN
58665.4,NaN,NaN,18.93,0.09
58668.4,NaN,NaN,18.99,0.09
58674.3,NaN,NaN,19.1,0.09
58674.4,20.37,0.24,NaN,NaN
58677.3,NaN,NaN,19.17,0.12
58678.2,NaN,NaN,19.1,0.14
58679.2,NaN,NaN,19.27,0.17
58680.3,NaN,NaN,19.23,0.15
58681.3,NaN,NaN,19.18,0.15
58682.3,NaN,NaN,19.16,0.13
58683.2,NaN,NaN,19.24,0.13
58683.3,NaN,NaN,19.3,0.16
58684.2,NaN,NaN,19.23,0.14
58684.3,20.03,0.22,NaN,NaN
58688.4,NaN,NaN,19.35,0.14
58690.3,20.45,0.19,NaN,NaN
58690.4,NaN,NaN,19.31,0.11
58691.3,20.43,0.22,NaN,NaN
58691.4,NaN,NaN,19.3,0.11
58692.3,NaN,NaN,19.35,0.11
58693.4,NaN,NaN,19.41,0.12
58694.4,NaN,NaN,19.39,0.12
58696.3,NaN,NaN,19.49,0.14
58697.3,20.62,0.23,19.64,0.17
58699.3,NaN,NaN,19.48,0.11
58700.3,NaN,NaN,19.68,0.14
58701.3,NaN,NaN,19.54,0.13
58703.3,NaN,NaN,19.74,0.19
58704.3,NaN,NaN,19.59,0.13
58705.2,NaN,NaN,19.77,0.21
58706.2,NaN,NaN,19.96,0.2
