MJD,g,gerr,r,rerr
58618.2,NaN,NaN,18.98,0.1
58619.2,18.36,0.12,18.33,0.2
58622.2,18.25,0.14,NaN,NaN
58628.2,18.36,0.07,NaN,NaN
58633.3,18.59,0.08,18.48,0.08
58634.2,18.58,0.08,NaN,NaN
58634.3,NaN,NaN,18.47,0.07
58636.3,18.58,0.08,NaN,NaN
58637.2,18.61,0.07,18.49,0.07
58639.2,18.67,0.08,NaN,NaN
58639.3,NaN,NaN,18.49,0.07
58640.2,18.7,0.08,18.44,0.07
58642.2,18.73,0.08,NaN,NaN
58642.3,NaN,NaN,18.47,0.08
58643.2,18.78,0.1,18.5,0.09
58645.2,18.81,0.08,NaN,NaN
58646.2,18.79,0.14,18.55,0.09
58648.2,18.85,0.19,18.46,0.1
58649.2,18.97,0.13,18.51,0.1
58651.2,19.02,0.18,NaN,NaN
58651.3,NaN,NaN,18.55,0.15
58652.3,NaN,NaN,18.51,0.09
58654.2,NaN,NaN,18.55,0.11
58654.3,18.95,0.1,NaN,NaN
58655.2,19.07,0.18,18.65,0.09
58657.2,19.11,0.12,NaN,NaN
58658.2,19.08,0.1,NaN,NaN
58660.2,19.19,0.09,NaN,NaN
58661.2,19.13,0.09,18.65,0.08
58667.2,19.25,0.13,NaN,NaN
58670.2,19.17,0.15,18.54,0.1
58670.3,NaN,NaN,18.64,0.11
58673.2,19.29,0.17,18.63,0.08
58676.2,19.28,0.21,18.58,0.08
58683.2,NaN,NaN,18.7,0.1
58684.2,NaN,NaN,18.61,0.1
58684.3,19.2,0.27,NaN,NaN
58688.2,19.39,0.16,NaN,NaN
58689.2,NaN,NaN,18.68,0.1
58690.2,19.48,0.16,18.67,0.09
58691.2,19.51,0.15,18.77,0.11
58692.2,19.44,0.15,18.64,0.15
58693.2,19.5,0.19,NaN,NaN
58694.2,19.39,0.14,19.03,0.12
58705.2,NaN,NaN,19.22,0.14
58706.2,NaN,NaN,19.14,0.12
58707.2,NaN,NaN,19.34,0.2
