MJD,g,gerr,r,rerr
58619.3,18.85,0.15,19.07,0.26
58628.3,NaN,NaN,18.52,0.07
58632.3,18.67,0.09,18.59,0.06
58635.2,18.83,0.07,NaN,NaN
58635.3,NaN,NaN,18.74,0.07
58638.3,18.96,0.08,18.83,0.08
58641.2,19.01,0.1,NaN,NaN
58641.3,NaN,NaN,18.88,0.09
58644.2,19.15,0.1,19.03,0.11
58647.2,19.21,0.14,18.99,0.13
58650.3,NaN,NaN,19.04,0.13
58653.3,19.57,0.2,NaN,NaN
58657.2,19.67,0.11,NaN,NaN
58657.3,NaN,NaN,19.21,0.08
58660.2,NaN,NaN,19.2,0.12
58663.2,19.73,0.1,19.33,0.11
58666.3,NaN,NaN,19.29,0.1
58669.2,NaN,NaN,19.24,0.12
58672.2,19.95,0.19,19.25,0.12
58675.2,NaN,NaN,19.32,0.16
58678.2,NaN,NaN,19.29,0.13
58681.2,NaN,NaN,19.49,0.26
58684.2,20.12,0.17,19.39,0.12
58690.2,20.44,0.19,19.33,0.13
58698.2,NaN,NaN,19.45,0.17
58701.2,NaN,NaN,19.44,0.28
58705.2,NaN,NaN,19.79,0.17
