MJD,g,gerr,r,rerr
58635.2,18.58,0.06,NaN,NaN
58635.3,NaN,NaN,18.85,0.08
58635.4,18.51,0.07,NaN,NaN
58638.3,18.46,0.07,18.56,0.1
58641.2,18.47,0.08,NaN,NaN
58641.3,NaN,NaN,18.41,0.07
58644.2,18.47,0.08,NaN,NaN
58644.3,NaN,NaN,18.4,0.07
58647.2,18.54,0.08,NaN,NaN
58647.3,NaN,NaN,18.46,0.07
58647.4,18.6,0.09,NaN,NaN
58650.2,18.59,0.15,NaN,NaN
58650.3,NaN,NaN,18.49,0.12
58653.2,NaN,NaN,18.5,0.09
58653.3,18.6,0.11,NaN,NaN
58657.2,18.79,0.07,NaN,NaN
58657.3,NaN,NaN,18.49,0.07
58657.4,NaN,NaN,18.46,0.1
58660.2,18.92,0.08,18.49,0.06
58663.3,NaN,NaN,18.59,0.09
58666.2,19.02,0.1,NaN,NaN
58666.3,NaN,NaN,18.64,0.09
58669.3,NaN,NaN,18.56,0.08
58672.2,NaN,NaN,18.68,0.09
58672.3,19.27,0.1,NaN,NaN
58675.2,NaN,NaN,18.61,0.09
58675.3,19.24,0.11,18.7,0.09
58678.2,NaN,NaN,18.64,0.09
58678.3,19.28,0.19,NaN,NaN
58681.2,19.46,0.19,NaN,NaN
58681.3,NaN,NaN,18.65,0.1
58684.2,19.43,0.13,18.6,0.07
58688.2,19.53,0.13,NaN,NaN
58691.2,19.63,0.14,18.63,0.07
58694.2,19.56,0.13,NaN,NaN
58697.2,19.54,0.17,18.65,0.08
58700.2,NaN,NaN,18.63,0.06
58703.2,19.57,0.21,18.71,0.09
58705.2,NaN,NaN,18.61,0.09
58706.2,19.59,0.21,NaN,NaN
58708.2,19.61,0.18,NaN,NaN
58709.2,19.58,0.18,NaN,NaN
58709.3,NaN,NaN,18.81,0.11
58711.2,19.53,0.22,NaN,NaN
58711.3,NaN,NaN,18.62,0.13
58712.2,19.66,0.16,18.61,0.1
58714.2,19.7,0.25,NaN,NaN
58715.2,19.66,0.16,NaN,NaN
58718.2,19.63,0.15,NaN,NaN
58724.2,19.76,0.14,18.66,0.07
58727.1,NaN,NaN,18.72,0.08
58727.2,19.67,0.13,NaN,NaN
58731.1,NaN,NaN,18.73,0.08
58734.1,NaN,NaN,18.72,0.1
58734.2,19.44,0.22,NaN,NaN
58737.1,20.12,0.3,NaN,NaN
58737.2,19.84,0.25,18.85,0.13
58741.1,20.07,0.29,NaN,NaN
58743.1,20.08,0.22,NaN,NaN
58744.1,19.95,0.18,18.8,0.08
58749.1,NaN,NaN,18.89,0.09
58761.1,NaN,NaN,19.68,0.18
