MJD,g,gerr,r,rerr
58641.4,18.11,0.06,NaN,NaN
58644.4,18.14,0.07,NaN,NaN
58647.5,18.14,0.23,NaN,NaN
58650.4,NaN,NaN,17.88,0.07
58654.4,NaN,NaN,17.91,0.06
58657.4,NaN,NaN,18.0,0.07
58660.4,18.47,0.06,NaN,NaN
58665.4,NaN,NaN,18.0,0.05
58668.4,NaN,NaN,18.05,0.06
58668.5,18.72,0.07,NaN,NaN
58671.4,NaN,NaN,18.08,0.07
58674.4,18.88,0.09,NaN,NaN
58674.5,NaN,NaN,18.11,0.07
58677.5,18.91,0.09,NaN,NaN
58680.5,18.93,0.14,NaN,NaN
58683.4,NaN,NaN,18.1,0.06
58683.5,18.95,0.1,NaN,NaN
58686.4,NaN,NaN,18.13,0.06
58686.5,18.95,0.11,NaN,NaN
58690.4,NaN,NaN,18.15,0.06
58690.5,19.02,0.1,NaN,NaN
58693.4,19.09,0.1,NaN,NaN
58693.5,NaN,NaN,18.14,0.06
58696.5,19.13,0.08,18.11,0.05
58697.5,19.06,0.13,NaN,NaN
58699.4,19.12,0.11,18.13,0.05
58703.4,NaN,NaN,18.16,0.05
58703.5,19.22,0.1,NaN,NaN
58706.5,NaN,NaN,18.15,0.05
58708.4,19.14,0.13,NaN,NaN
58709.5,19.13,0.11,NaN,NaN
58712.4,NaN,NaN,18.16,0.08
58715.4,NaN,NaN,18.22,0.05
58717.4,19.24,0.13,NaN,NaN
58718.4,19.28,0.13,NaN,NaN
58718.5,NaN,NaN,18.11,0.06
58721.4,NaN,NaN,18.15,0.05
58724.4,19.22,0.11,18.14,0.06
58727.4,19.33,0.11,NaN,NaN
58727.5,NaN,NaN,18.15,0.06
58730.4,NaN,NaN,18.19,0.06
58733.4,19.32,0.1,18.15,0.05
58734.4,19.43,0.14,NaN,NaN
58736.4,NaN,NaN,18.24,0.06
58736.5,19.32,0.1,NaN,NaN
58737.4,19.64,0.19,NaN,NaN
58738.4,19.27,0.17,18.2,0.07
58739.3,NaN,NaN,18.23,0.07
58739.4,NaN,NaN,18.25,0.07
58739.5,19.17,0.13,NaN,NaN
58740.4,NaN,NaN,18.18,0.06
58740.5,NaN,NaN,18.16,0.08
58741.3,NaN,NaN,18.27,0.08
58741.4,NaN,NaN,18.23,0.07
58743.4,19.44,0.18,18.28,0.07
58744.4,NaN,NaN,18.24,0.08
58745.4,NaN,NaN,18.32,0.07
58746.4,19.93,0.25,NaN,NaN
58747.4,NaN,NaN,18.33,0.05
58748.4,NaN,NaN,18.32,0.06
58749.3,19.6,0.13,18.33,0.06
58749.4,19.86,0.14,NaN,NaN
58750.4,19.7,0.15,NaN,NaN
58751.3,NaN,NaN,18.33,0.06
58751.4,19.75,0.16,NaN,NaN
58758.3,NaN,NaN,18.61,0.06
58758.4,20.18,0.19,NaN,NaN
58759.3,NaN,NaN,18.66,0.07
58759.4,20.04,0.18,NaN,NaN
58760.3,NaN,NaN,18.76,0.09
58760.4,20.28,0.23,NaN,NaN
58761.3,20.21,0.3,NaN,NaN
58761.4,NaN,NaN,18.75,0.11
58762.3,20.33,0.27,NaN,NaN
58763.3,NaN,NaN,18.83,0.08
58764.1,NaN,NaN,18.98,0.1
58764.2,20.27,0.25,18.86,0.09
58764.4,20.43,0.23,18.94,0.09
58765.1,NaN,NaN,19.08,0.11
58765.2,20.06,0.24,19.04,0.11
58766.1,NaN,NaN,19.28,0.21
58766.2,NaN,NaN,19.09,0.13
58767.1,NaN,NaN,19.0,0.21
58767.5,NaN,NaN,19.14,0.14
58768.1,NaN,NaN,19.2,0.23
58768.2,NaN,NaN,19.35,0.15
58769.2,NaN,NaN,19.29,0.24
58770.2,NaN,NaN,19.33,0.23
58771.1,NaN,NaN,19.19,0.26
58771.2,NaN,NaN,19.3,0.24
58772.2,19.8,0.24,NaN,NaN
58773.1,NaN,NaN,19.66,0.18
58774.1,NaN,NaN,19.71,0.21
58775.1,NaN,NaN,19.72,0.17
58776.1,NaN,NaN,19.63,0.18
58776.2,NaN,NaN,19.79,0.17
58777.1,NaN,NaN,19.74,0.19
58777.3,NaN,NaN,19.7,0.2
58777.4,NaN,NaN,19.63,0.2
58778.3,NaN,NaN,19.79,0.2
58779.1,NaN,NaN,19.81,0.16
58779.2,NaN,NaN,19.82,0.15
58782.1,NaN,NaN,19.77,0.2
58782.3,NaN,NaN,19.76,0.17
