MJD,g,gerr,r,rerr
58642.2,18.68,0.07,19.02,0.07
58645.2,18.56,0.08,NaN,NaN
58645.3,NaN,NaN,18.75,0.11
58648.2,18.57,0.09,18.64,0.11
58651.2,18.57,0.12,NaN,NaN
58654.2,NaN,NaN,18.65,0.07
58654.3,18.63,0.1,NaN,NaN
58657.2,18.72,0.07,NaN,NaN
58657.3,NaN,NaN,18.77,0.09
58660.2,NaN,NaN,18.72,0.08
58663.2,18.86,0.07,18.64,0.09
58667.2,19.0,0.09,18.72,0.08
58670.2,19.04,0.1,18.7,0.09
58673.2,19.13,0.1,NaN,NaN
58676.2,19.12,0.12,18.84,0.1
58679.2,19.31,0.15,18.82,0.11
58682.2,19.34,0.16,18.8,0.1
58685.2,19.69,0.13,NaN,NaN
58692.2,19.49,0.12,18.78,0.09
58701.2,NaN,NaN,18.51,0.16
58715.2,19.56,0.12,NaN,NaN
58720.2,19.73,0.18,NaN,NaN
58724.1,NaN,NaN,18.75,0.13
