MJD,g,gerr,r,rerr
58678.4,18.87,0.14,NaN,NaN
58681.4,NaN,NaN,17.75,0.07
58681.5,18.14,0.1,NaN,NaN
58684.4,18.05,0.09,NaN,NaN
58692.5,NaN,NaN,17.32,0.04
58695.4,17.97,0.08,NaN,NaN
58695.5,NaN,NaN,17.33,0.05
58698.5,18.0,0.07,17.23,0.05
58701.5,18.08,0.08,17.28,0.07
58704.4,18.17,0.08,NaN,NaN
58704.5,NaN,NaN,17.32,0.06
58707.4,18.23,0.07,NaN,NaN
58707.5,NaN,NaN,17.33,0.05
58711.4,NaN,NaN,17.4,0.04
58714.4,NaN,NaN,17.4,0.06
58714.5,18.4,0.08,NaN,NaN
58717.4,18.45,0.1,NaN,NaN
58717.5,NaN,NaN,17.41,0.05
58724.5,18.63,0.09,17.48,0.05
58727.5,18.62,0.09,17.46,0.06
58732.4,18.69,0.07,NaN,NaN
58732.5,NaN,NaN,17.5,0.05
58735.4,18.63,0.11,NaN,NaN
58735.5,NaN,NaN,17.51,0.06
58738.5,18.71,0.12,17.54,0.06
58741.4,NaN,NaN,17.54,0.06
58744.4,NaN,NaN,17.55,0.05
58744.5,18.78,0.12,NaN,NaN
58747.4,NaN,NaN,17.53,0.04
58747.5,18.73,0.11,NaN,NaN
58750.4,18.89,0.12,NaN,NaN
58750.5,NaN,NaN,17.55,0.06
58756.4,18.84,0.12,NaN,NaN
58756.5,NaN,NaN,17.55,0.06
58759.4,18.84,0.1,17.56,0.05
58763.4,NaN,NaN,17.58,0.05
58766.5,18.84,0.09,17.62,0.05
58769.5,18.93,0.16,NaN,NaN
58772.3,18.78,0.28,NaN,NaN
58772.4,NaN,NaN,17.62,0.09
58775.4,18.96,0.12,17.72,0.06
58778.3,19.11,0.15,17.73,0.06
58781.4,19.08,0.13,NaN,NaN
58785.3,NaN,NaN,17.84,0.05
58785.4,19.19,0.14,NaN,NaN
58788.3,NaN,NaN,17.89,0.05
58789.3,NaN,NaN,17.88,0.08
58789.4,19.41,0.15,NaN,NaN
58790.3,19.48,0.16,NaN,NaN
58790.4,NaN,NaN,17.91,0.06
58791.3,19.51,0.15,NaN,NaN
58792.4,NaN,NaN,18.0,0.07
58793.5,NaN,NaN,18.07,0.06
58794.3,19.74,0.21,NaN,NaN
58795.3,19.71,0.17,18.09,0.08
58796.3,NaN,NaN,18.22,0.08
58797.3,19.44,0.2,NaN,NaN
58798.3,NaN,NaN,18.25,0.08
58803.3,NaN,NaN,18.42,0.08
58804.2,NaN,NaN,18.52,0.1
58805.2,20.29,0.28,18.49,0.07
58805.3,NaN,NaN,18.53,0.1
58806.4,20.19,0.24,NaN,NaN
58812.2,NaN,NaN,18.99,0.07
58814.2,NaN,NaN,18.97,0.12
58830.2,NaN,NaN,19.22,0.14
58833.2,NaN,NaN,19.46,0.17
58833.3,NaN,NaN,19.43,0.15
58846.1,NaN,NaN,19.57,0.14
58849.2,NaN,NaN,19.51,0.1
58850.1,NaN,NaN,19.44,0.15
58852.2,NaN,NaN,19.63,0.13
58859.2,NaN,NaN,19.42,0.2
58860.2,NaN,NaN,19.54,0.19
58861.2,NaN,NaN,19.6,0.19
58863.2,NaN,NaN,19.54,0.26
58867.1,NaN,NaN,19.62,0.19
58873.2,NaN,NaN,19.66,0.12
58874.1,NaN,NaN,19.77,0.13
58877.1,NaN,NaN,19.68,0.14
58880.2,NaN,NaN,19.66,0.22
58887.1,NaN,NaN,19.98,0.3
58896.2,NaN,NaN,19.98,0.2
58899.1,NaN,NaN,19.88,0.14
