MJD,g,gerr,r,rerr
58714.2,19.02,0.09,19.16,0.12
58715.3,18.98,0.09,19.07,0.11
58716.3,18.97,0.11,18.98,0.08
58717.3,19.0,0.1,18.95,0.09
58718.3,18.93,0.09,18.89,0.1
58719.3,18.96,0.09,18.85,0.08
58720.3,19.02,0.08,18.91,0.08
58721.3,NaN,NaN,18.93,0.09
58722.3,19.04,0.11,18.91,0.1
58723.3,19.13,0.08,18.97,0.07
58724.3,19.05,0.08,18.95,0.1
58725.3,19.15,0.09,19.0,0.09
58726.3,19.1,0.11,18.97,0.08
58727.3,19.13,0.09,18.95,0.08
58730.3,NaN,NaN,19.05,0.11
58732.3,19.27,0.08,19.01,0.1
58733.3,19.4,0.12,18.96,0.09
58734.3,19.34,0.15,18.95,0.08
58735.3,19.38,0.14,18.99,0.1
58736.3,19.37,0.2,19.03,0.11
58737.3,19.28,0.2,19.02,0.12
58745.3,NaN,NaN,19.19,0.16
58749.3,NaN,NaN,19.15,0.11
58754.1,NaN,NaN,19.2,0.1
58754.3,19.91,0.15,NaN,NaN
58757.2,19.89,0.16,NaN,NaN
58760.3,NaN,NaN,19.1,0.12
58763.1,20.09,0.2,NaN,NaN
58763.2,NaN,NaN,19.35,0.13
58766.1,NaN,NaN,19.27,0.16
58769.1,NaN,NaN,19.41,0.16
58775.1,NaN,NaN,19.45,0.14
58779.1,NaN,NaN,19.48,0.16
58782.2,20.44,0.3,NaN,NaN
58785.1,NaN,NaN,19.57,0.16
58790.1,NaN,NaN,19.74,0.21
58791.1,NaN,NaN,19.57,0.14
