MJD,g,gerr,r,rerr
58713.4,NaN,NaN,19.38,0.21
58713.5,19.65,0.27,NaN,NaN
58716.4,NaN,NaN,19.18,0.12
58721.3,NaN,NaN,19.1,0.11
58724.4,19.11,0.11,19.02,0.09
58725.4,19.11,0.09,NaN,NaN
58727.3,NaN,NaN,19.02,0.08
58727.4,19.09,0.1,NaN,NaN
58730.3,19.1,0.14,NaN,NaN
58730.4,NaN,NaN,18.95,0.07
58733.4,19.19,0.1,18.99,0.09
58736.4,NaN,NaN,18.89,0.08
58736.5,19.15,0.12,NaN,NaN
58738.2,19.29,0.24,18.83,0.13
58739.2,19.05,0.2,18.92,0.16
58740.2,NaN,NaN,18.65,0.2
58741.2,19.27,0.26,18.98,0.22
58743.2,19.18,0.18,18.8,0.14
58744.2,19.17,0.17,18.82,0.11
58745.2,19.17,0.13,18.95,0.1
58746.2,NaN,NaN,18.82,0.1
58747.2,19.23,0.14,18.84,0.07
58748.2,19.31,0.14,18.94,0.09
58749.2,19.29,0.13,18.88,0.08
58750.2,19.17,0.15,18.87,0.11
58751.2,19.21,0.11,18.86,0.08
58754.2,19.22,0.09,18.86,0.07
58758.2,NaN,NaN,18.89,0.08
58760.2,19.23,0.13,18.95,0.09
58761.2,19.37,0.18,18.89,0.08
58762.2,19.28,0.14,18.91,0.1
58763.2,19.32,0.15,18.96,0.11
58764.3,19.26,0.17,NaN,NaN
58764.4,19.47,0.15,18.88,0.07
58771.3,NaN,NaN,19.0,0.13
58774.2,NaN,NaN,19.0,0.12
58777.2,19.67,0.18,19.05,0.1
58781.2,NaN,NaN,19.03,0.16
58785.2,19.78,0.15,19.27,0.12
58788.2,19.82,0.19,19.26,0.12
58790.2,NaN,NaN,19.18,0.17
58791.1,NaN,NaN,19.34,0.12
58791.2,19.85,0.21,NaN,NaN
58792.2,NaN,NaN,19.17,0.1
58794.1,NaN,NaN,19.37,0.18
58794.2,19.77,0.26,NaN,NaN
58797.1,NaN,NaN,19.34,0.17
58799.2,NaN,NaN,19.44,0.21
58800.3,NaN,NaN,19.29,0.17
58801.3,NaN,NaN,19.35,0.26
58803.2,20.12,0.29,19.37,0.11
58806.2,20.25,0.23,19.34,0.12
58811.1,NaN,NaN,19.58,0.12
58811.2,20.25,0.3,NaN,NaN
58812.2,20.33,0.21,NaN,NaN
58831.1,NaN,NaN,19.93,0.18
58838.1,NaN,NaN,20.15,0.19
