MJD,g,gerr,r,rerr
58715.4,NaN,NaN,17.48,0.04
58715.5,17.01,0.05,NaN,NaN
58718.4,16.76,0.04,NaN,NaN
58724.4,16.8,0.04,16.85,0.03
58727.3,NaN,NaN,16.8,0.05
58727.4,16.9,0.04,NaN,NaN
58732.4,17.07,0.04,NaN,NaN
58732.5,NaN,NaN,17.28,0.08
58735.4,17.2,0.04,NaN,NaN
58738.3,NaN,NaN,17.07,0.03
58738.4,17.4,0.05,NaN,NaN
58743.3,NaN,NaN,17.14,0.04
58743.4,17.61,0.06,NaN,NaN
58746.4,17.74,0.07,NaN,NaN
58749.3,17.9,0.05,NaN,NaN
58757.3,NaN,NaN,17.4,0.04
58760.4,18.25,0.08,NaN,NaN
58764.4,18.37,0.08,17.51,0.04
58770.3,NaN,NaN,17.59,0.06
58773.2,NaN,NaN,17.75,0.12
58776.2,NaN,NaN,17.65,0.05
58779.2,NaN,NaN,17.72,0.05
58782.3,NaN,NaN,17.79,0.05
58785.2,19.11,0.11,NaN,NaN
58788.2,19.37,0.22,17.97,0.06
58800.2,NaN,NaN,19.14,0.15
58831.1,NaN,NaN,19.53,0.18
58838.1,NaN,NaN,19.54,0.17
