MJD,g,gerr,r,rerr
58716.4,NaN,NaN,18.95,0.11
58717.3,NaN,NaN,18.25,0.06
58717.4,18.07,0.05,NaN,NaN
58720.4,17.96,0.06,NaN,NaN
58723.4,17.81,0.05,17.92,0.05
58726.3,NaN,NaN,17.86,0.06
58726.4,17.83,0.05,NaN,NaN
58730.3,17.89,0.12,NaN,NaN
58730.4,NaN,NaN,17.84,0.07
58733.4,NaN,NaN,17.82,0.05
58736.3,17.98,0.06,NaN,NaN
58736.4,NaN,NaN,17.77,0.06
58736.5,17.96,0.06,NaN,NaN
58738.2,18.02,0.1,17.82,0.07
58739.2,18.08,0.1,17.74,0.07
58740.2,18.06,0.09,17.82,0.1
58741.2,18.1,0.07,17.85,0.07
58742.2,18.06,0.12,NaN,NaN
58743.2,18.15,0.07,17.8,0.07
58744.2,18.14,0.08,17.81,0.05
58745.2,18.22,0.06,17.82,0.05
58746.2,NaN,NaN,17.86,0.06
58747.2,18.29,0.06,17.82,0.07
58748.2,18.28,0.06,17.85,0.08
58749.2,18.3,0.06,17.85,0.08
58750.2,18.41,0.07,17.88,0.07
58751.2,18.5,0.08,17.9,0.07
58754.2,18.46,0.07,17.93,0.06
58758.2,18.56,0.08,17.95,0.08
58759.2,NaN,NaN,17.95,0.06
58760.2,18.62,0.11,18.0,0.06
58761.2,18.71,0.11,17.99,0.07
58762.2,18.58,0.1,18.0,0.06
58763.2,18.72,0.08,18.0,0.06
58764.3,18.62,0.1,NaN,NaN
58764.4,18.67,0.09,17.94,0.07
58770.2,NaN,NaN,18.04,0.06
58771.3,NaN,NaN,18.12,0.1
58773.2,NaN,NaN,18.23,0.15
58774.2,NaN,NaN,18.06,0.08
58776.2,NaN,NaN,18.1,0.05
58777.2,18.98,0.12,18.15,0.07
58779.2,18.93,0.13,18.12,0.06
58781.2,NaN,NaN,18.13,0.1
58782.2,18.94,0.09,18.13,0.08
58785.2,19.08,0.11,18.16,0.06
58788.2,19.04,0.13,18.15,0.06
58790.2,NaN,NaN,18.2,0.07
58791.1,NaN,NaN,18.13,0.08
58791.2,19.03,0.12,NaN,NaN
58791.3,19.02,0.1,NaN,NaN
58792.2,19.05,0.11,NaN,NaN
58794.1,NaN,NaN,18.13,0.08
58794.2,18.97,0.11,NaN,NaN
58797.1,NaN,NaN,18.19,0.08
58797.2,19.07,0.16,NaN,NaN
58798.1,18.99,0.15,NaN,NaN
58799.2,NaN,NaN,18.23,0.09
58800.2,19.24,0.18,NaN,NaN
58800.3,NaN,NaN,18.2,0.08
58803.2,19.2,0.16,18.18,0.08
58806.2,19.15,0.11,18.22,0.06
58811.1,NaN,NaN,18.33,0.12
58811.2,19.3,0.17,NaN,NaN
58812.2,19.22,0.11,NaN,NaN
58814.1,19.15,0.26,18.34,0.08
58819.1,NaN,NaN,18.31,0.13
58820.1,NaN,NaN,18.2,0.16
58831.1,19.6,0.18,18.5,0.1
58833.1,19.85,0.2,18.6,0.07
58835.1,NaN,NaN,18.56,0.21
58836.1,19.68,0.15,NaN,NaN
58837.1,NaN,NaN,18.65,0.08
58838.1,NaN,NaN,18.65,0.12
58846.1,NaN,NaN,18.92,0.1
58851.1,NaN,NaN,19.09,0.3
58853.1,NaN,NaN,19.13,0.2
58854.1,NaN,NaN,19.21,0.27
58860.1,NaN,NaN,19.45,0.21
58863.1,NaN,NaN,19.67,0.2
