MJD,g,gerr,r,rerr
58724.5,19.47,0.1,19.28,0.11
58727.5,19.4,0.1,19.37,0.15
58732.4,19.47,0.1,NaN,NaN
58732.5,NaN,NaN,19.3,0.09
58735.4,19.71,0.13,NaN,NaN
58735.5,NaN,NaN,19.44,0.1
58738.5,19.56,0.17,19.2,0.12
58745.5,NaN,NaN,19.2,0.18
58748.4,NaN,NaN,19.38,0.16
58748.5,20.16,0.24,NaN,NaN
58751.5,NaN,NaN,19.56,0.12
58756.4,20.18,0.19,NaN,NaN
58759.4,20.2,0.14,19.61,0.11
58765.4,20.14,0.15,19.41,0.12
58775.4,NaN,NaN,19.67,0.17
58781.4,20.44,0.22,NaN,NaN
58784.4,NaN,NaN,19.34,0.18
58787.4,20.3,0.22,NaN,NaN
58790.3,20.38,0.2,NaN,NaN
58790.4,NaN,NaN,19.79,0.22
58793.4,NaN,NaN,19.6,0.17
58796.3,NaN,NaN,19.69,0.23
58806.3,20.39,0.27,NaN,NaN
58812.3,NaN,NaN,19.82,0.15
