MJD,g,gerr,r,rerr
58732.5,NaN,NaN,18.98,0.09
58735.5,18.44,0.08,18.64,0.06
58738.4,18.19,0.09,NaN,NaN
58744.5,18.16,0.08,18.14,0.09
58747.5,18.16,0.08,18.14,0.09
58750.4,18.3,0.09,NaN,NaN
58750.5,NaN,NaN,18.16,0.07
58756.4,18.37,0.07,NaN,NaN
58756.5,NaN,NaN,18.3,0.08
58759.4,18.5,0.06,NaN,NaN
58759.5,NaN,NaN,18.3,0.06
58763.4,18.55,0.07,NaN,NaN
58763.5,NaN,NaN,18.33,0.07
58766.4,18.62,0.09,NaN,NaN
58766.5,NaN,NaN,18.43,0.06
58769.4,NaN,NaN,18.44,0.08
58772.4,NaN,NaN,18.37,0.17
58775.4,18.75,0.12,18.45,0.08
58778.3,18.77,0.12,NaN,NaN
58778.4,NaN,NaN,18.41,0.09
58781.4,18.94,0.11,NaN,NaN
58784.4,18.97,0.21,18.58,0.11
58787.4,NaN,NaN,18.64,0.2
58790.3,19.2,0.14,NaN,NaN
58790.4,NaN,NaN,18.65,0.09
58793.4,NaN,NaN,18.71,0.08
58796.3,19.17,0.3,18.85,0.16
58803.3,NaN,NaN,18.92,0.1
58806.3,19.67,0.23,18.92,0.09
58812.3,19.78,0.21,NaN,NaN
