MJD,g,gerr,r,rerr
58745.5,18.92,0.14,19.4,0.2
58748.5,18.81,0.12,18.86,0.1
58751.5,18.74,0.09,NaN,NaN
58756.5,18.7,0.1,18.74,0.07
58759.5,18.8,0.09,18.7,0.07
58763.5,18.88,0.1,NaN,NaN
58766.5,18.83,0.1,NaN,NaN
58769.5,NaN,NaN,18.89,0.09
58776.5,19.26,0.2,18.87,0.1
58779.5,19.22,0.13,NaN,NaN
58785.5,19.35,0.14,19.01,0.08
58788.5,19.42,0.13,19.02,0.11
58791.5,NaN,NaN,19.12,0.1
58794.5,NaN,NaN,19.17,0.1
58798.6,19.68,0.19,NaN,NaN
58799.4,NaN,NaN,19.17,0.16
58800.4,NaN,NaN,19.17,0.12
58802.5,19.66,0.24,NaN,NaN
58805.5,19.75,0.26,NaN,NaN
58811.4,19.59,0.15,NaN,NaN
58827.3,NaN,NaN,19.34,0.19
58827.4,NaN,NaN,19.27,0.15
58833.4,NaN,NaN,19.27,0.17
58836.5,NaN,NaN,19.4,0.11
58846.3,NaN,NaN,19.6,0.12
58846.5,20.03,0.18,NaN,NaN
58849.5,20.0,0.17,NaN,NaN
58850.4,19.92,0.3,NaN,NaN
58850.5,NaN,NaN,19.62,0.19
58851.4,NaN,NaN,19.7,0.18
58852.4,NaN,NaN,19.61,0.11
58852.5,20.08,0.17,NaN,NaN
58853.4,NaN,NaN,19.59,0.11
58853.5,20.16,0.19,NaN,NaN
58854.4,NaN,NaN,19.63,0.25
58855.3,NaN,NaN,19.67,0.18
58855.4,20.02,0.26,NaN,NaN
58856.3,NaN,NaN,19.86,0.22
58860.3,NaN,NaN,19.56,0.21
58862.3,NaN,NaN,19.6,0.17
58864.2,20.11,0.19,19.71,0.12
58867.3,NaN,NaN,19.78,0.14
58867.4,20.29,0.23,NaN,NaN
58871.3,NaN,NaN,19.83,0.15
58873.2,NaN,NaN,19.79,0.12
58874.2,NaN,NaN,19.92,0.29
58876.2,20.18,0.21,NaN,NaN
58879.2,20.08,0.24,NaN,NaN
58882.2,NaN,NaN,19.95,0.28
58884.2,NaN,NaN,19.58,0.3
58892.3,NaN,NaN,20.02,0.2
58898.2,20.46,0.23,NaN,NaN
58898.3,20.36,0.2,19.82,0.15
58900.3,20.3,0.26,NaN,NaN
58903.2,NaN,NaN,20.03,0.14
