MJD,g,gerr,r,rerr
58751.5,18.61,0.09,NaN,NaN
58756.5,18.34,0.07,18.53,0.09
58758.5,18.29,0.06,NaN,NaN
58759.5,18.31,0.07,NaN,NaN
58761.5,NaN,NaN,18.42,0.08
58763.5,18.37,0.07,NaN,NaN
58766.5,18.37,0.11,18.37,0.07
58767.4,18.39,0.09,NaN,NaN
58768.5,18.4,0.09,NaN,NaN
58769.5,NaN,NaN,18.39,0.09
58773.5,NaN,NaN,18.3,0.13
58778.5,18.78,0.12,18.55,0.11
58781.5,18.81,0.13,18.5,0.12
58784.5,18.84,0.12,18.5,0.17
58787.5,18.91,0.12,18.44,0.08
58788.4,19.02,0.1,NaN,NaN
58790.5,19.02,0.1,18.58,0.09
58793.5,NaN,NaN,18.6,0.09
58796.5,NaN,NaN,18.56,0.08
58796.6,19.09,0.1,NaN,NaN
58799.5,19.32,0.2,18.74,0.13
58802.5,19.23,0.15,NaN,NaN
58806.5,19.19,0.13,18.6,0.11
58812.4,19.19,0.09,NaN,NaN
58827.3,NaN,NaN,18.62,0.11
58828.3,NaN,NaN,18.74,0.13
58828.4,19.47,0.2,NaN,NaN
58833.4,NaN,NaN,18.67,0.14
58835.4,NaN,NaN,18.89,0.16
58846.4,NaN,NaN,18.92,0.08
58850.4,NaN,NaN,19.14,0.17
58853.5,20.1,0.13,NaN,NaN
58860.3,NaN,NaN,19.48,0.3
58862.4,NaN,NaN,19.99,0.26
58871.3,NaN,NaN,20.25,0.21
58873.2,NaN,NaN,20.47,0.26
58875.2,NaN,NaN,20.67,0.25
58880.2,NaN,NaN,20.35,0.25
58903.2,NaN,NaN,20.65,0.21
