MJD,g,gerr,r,rerr
58757.3,NaN,NaN,19.03,0.07
58760.3,18.61,0.11,18.62,0.07
58764.3,18.55,0.1,NaN,NaN
58764.4,NaN,NaN,18.56,0.1
58770.2,NaN,NaN,18.6,0.14
58773.2,NaN,NaN,18.33,0.3
58777.2,NaN,NaN,18.49,0.07
58781.2,18.93,0.19,18.57,0.09
58785.2,18.97,0.09,18.63,0.07
58788.2,19.07,0.12,NaN,NaN
58791.1,NaN,NaN,18.65,0.09
58791.2,19.07,0.13,NaN,NaN
58797.1,NaN,NaN,18.48,0.13
58800.3,NaN,NaN,18.5,0.12
58803.2,19.12,0.2,18.57,0.07
58806.2,NaN,NaN,18.61,0.11
58812.1,19.34,0.12,NaN,NaN
58812.2,NaN,NaN,18.63,0.08
58820.2,19.24,0.29,NaN,NaN
58830.2,NaN,NaN,18.67,0.14
58833.1,19.47,0.17,18.66,0.09
58836.1,19.54,0.18,NaN,NaN
58852.2,NaN,NaN,19.09,0.14
58856.1,NaN,NaN,19.13,0.11
58860.1,NaN,NaN,19.16,0.16
58863.1,NaN,NaN,19.4,0.16
