MJD,g,gerr,r,rerr
58759.4,18.65,0.08,18.91,0.09
58763.4,18.48,0.06,18.5,0.09
58764.4,18.46,0.06,18.46,0.07
58765.4,18.5,0.07,18.47,0.08
58766.4,18.47,0.08,NaN,NaN
58766.5,NaN,NaN,18.37,0.07
58767.5,18.62,0.12,NaN,NaN
58769.5,18.67,0.13,18.36,0.12
58772.4,NaN,NaN,18.58,0.21
58775.3,NaN,NaN,18.81,0.1
58778.3,NaN,NaN,18.93,0.11
58779.3,NaN,NaN,18.94,0.1
58781.3,NaN,NaN,18.94,0.18
58781.4,19.48,0.14,NaN,NaN
58782.4,NaN,NaN,19.01,0.11
58783.4,NaN,NaN,18.95,0.1
58784.4,19.6,0.26,NaN,NaN
58787.3,NaN,NaN,18.99,0.09
58789.3,NaN,NaN,19.0,0.11
58789.4,19.82,0.2,NaN,NaN
58790.2,19.75,0.17,19.07,0.1
58790.3,19.79,0.18,NaN,NaN
58791.2,19.62,0.17,19.05,0.13
58791.3,19.76,0.15,NaN,NaN
58791.4,NaN,NaN,18.99,0.13
58792.2,19.7,0.14,19.06,0.11
58792.4,19.91,0.16,19.02,0.16
58793.2,19.76,0.19,19.08,0.15
58793.4,NaN,NaN,19.01,0.12
58794.2,19.87,0.23,19.02,0.14
58794.3,19.85,0.2,19.07,0.11
58795.2,19.68,0.24,19.05,0.12
58795.3,NaN,NaN,19.12,0.11
58796.2,NaN,NaN,19.12,0.27
58796.3,19.74,0.22,19.03,0.15
58797.2,19.84,0.3,NaN,NaN
58798.2,NaN,NaN,19.16,0.15
58799.3,NaN,NaN,19.16,0.16
58801.3,NaN,NaN,19.02,0.17
58802.2,19.87,0.21,NaN,NaN
58803.2,19.76,0.26,NaN,NaN
58803.3,NaN,NaN,19.1,0.15
58804.2,NaN,NaN,19.17,0.16
58806.2,20.2,0.22,19.25,0.12
58811.3,NaN,NaN,19.42,0.19
58812.2,NaN,NaN,19.43,0.13
58814.2,NaN,NaN,19.54,0.13
