MJD,g,gerr,r,rerr
58774.2,NaN,NaN,18.42,0.07
58777.2,NaN,NaN,17.75,0.05
58781.2,NaN,NaN,17.6,0.06
58785.2,17.85,0.05,17.56,0.05
58788.2,17.92,0.05,17.49,0.05
58790.2,NaN,NaN,17.48,0.06
58791.1,NaN,NaN,17.52,0.06
58791.2,17.91,0.06,NaN,NaN
58792.2,NaN,NaN,17.51,0.05
58794.1,NaN,NaN,17.51,0.07
58794.2,18.06,0.07,NaN,NaN
58796.2,18.07,0.07,NaN,NaN
58797.1,NaN,NaN,17.55,0.06
58797.2,18.2,0.1,NaN,NaN
58799.2,NaN,NaN,17.6,0.05
58800.2,18.32,0.1,NaN,NaN
58800.3,NaN,NaN,17.53,0.06
58801.3,NaN,NaN,17.57,0.04
58802.2,18.36,0.09,NaN,NaN
58803.2,18.36,0.09,NaN,NaN
58806.2,18.44,0.07,17.57,0.05
58811.1,NaN,NaN,17.66,0.05
58811.2,18.59,0.1,NaN,NaN
58812.2,18.67,0.07,NaN,NaN
58814.1,18.61,0.18,NaN,NaN
58814.2,NaN,NaN,17.66,0.09
58819.1,NaN,NaN,17.7,0.09
58819.2,18.6,0.11,NaN,NaN
58831.1,18.82,0.13,17.86,0.05
58835.1,18.86,0.21,17.81,0.1
58838.1,NaN,NaN,17.89,0.06
58846.1,19.06,0.12,NaN,NaN
58851.1,NaN,NaN,17.77,0.14
58854.1,NaN,NaN,17.98,0.08
58854.2,NaN,NaN,18.09,0.13
58859.2,NaN,NaN,18.09,0.06
58862.1,19.41,0.12,NaN,NaN
58872.1,NaN,NaN,18.68,0.1
