MJD,g,gerr,r,rerr
58777.2,NaN,NaN,19.04,0.09
58781.2,18.77,0.13,18.83,0.13
58785.2,18.81,0.09,18.78,0.09
58788.2,18.89,0.11,18.76,0.09
58790.2,NaN,NaN,18.74,0.1
58791.1,NaN,NaN,18.65,0.08
58791.2,18.92,0.13,NaN,NaN
58791.3,18.93,0.1,NaN,NaN
58792.2,NaN,NaN,18.75,0.12
58794.1,NaN,NaN,18.68,0.13
58794.2,18.86,0.13,NaN,NaN
58797.1,NaN,NaN,18.57,0.18
58797.2,19.16,0.26,NaN,NaN
58799.2,NaN,NaN,18.9,0.17
58800.2,19.37,0.3,NaN,NaN
58800.3,NaN,NaN,18.7,0.12
58801.3,NaN,NaN,18.85,0.16
58803.2,19.45,0.26,18.85,0.25
58806.2,19.52,0.25,18.78,0.11
58811.1,NaN,NaN,18.85,0.1
58811.2,19.6,0.2,NaN,NaN
58812.2,19.62,0.21,NaN,NaN
58814.2,NaN,NaN,18.98,0.23
58819.2,19.77,0.29,18.96,0.13
58831.1,NaN,NaN,18.91,0.12
58835.1,NaN,NaN,19.1,0.25
58838.1,NaN,NaN,19.04,0.13
58846.1,NaN,NaN,19.01,0.09
58852.2,NaN,NaN,19.08,0.1
58855.2,NaN,NaN,19.03,0.18
58862.1,20.19,0.22,NaN,NaN
58872.1,NaN,NaN,19.29,0.13
