MJD,g,gerr,r,rerr
58782.1,NaN,NaN,19.78,0.23
58782.2,19.34,0.17,NaN,NaN
58783.1,NaN,NaN,18.98,0.11
58783.2,18.68,0.07,NaN,NaN
58785.1,NaN,NaN,18.41,0.06
58785.2,18.16,0.07,NaN,NaN
58786.1,NaN,NaN,18.27,0.07
58786.2,18.05,0.05,NaN,NaN
58787.1,NaN,NaN,18.23,0.06
58787.2,18.02,0.07,NaN,NaN
58788.1,NaN,NaN,18.15,0.07
58788.2,17.95,0.07,NaN,NaN
58789.1,NaN,NaN,18.09,0.06
58789.2,17.96,0.07,NaN,NaN
58790.1,NaN,NaN,18.08,0.06
58790.2,NaN,NaN,18.07,0.07
58790.3,17.98,0.06,NaN,NaN
58791.3,18.03,0.05,NaN,NaN
58792.2,NaN,NaN,18.05,0.06
58793.1,NaN,NaN,18.04,0.07
58793.2,18.03,0.09,NaN,NaN
58796.1,NaN,NaN,17.99,0.08
58796.2,18.07,0.08,NaN,NaN
58799.3,NaN,NaN,18.03,0.11
58800.2,18.3,0.08,NaN,NaN
58800.3,NaN,NaN,18.11,0.05
58801.3,NaN,NaN,18.08,0.1
58802.2,18.36,0.07,NaN,NaN
58803.2,18.51,0.11,18.25,0.09
58803.3,NaN,NaN,18.21,0.07
58806.2,18.53,0.06,18.31,0.05
58811.1,NaN,NaN,18.38,0.07
58811.2,18.75,0.09,18.41,0.07
58812.2,NaN,NaN,18.42,0.06
58814.1,18.76,0.24,NaN,NaN
58814.2,NaN,NaN,18.46,0.08
58819.1,NaN,NaN,18.44,0.09
58819.2,19.08,0.17,18.63,0.22
58820.2,19.07,0.13,NaN,NaN
58828.2,NaN,NaN,18.46,0.11
58830.2,19.2,0.15,18.63,0.1
58830.3,NaN,NaN,18.63,0.13
58833.1,19.31,0.1,18.62,0.07
58836.1,19.3,0.09,18.6,0.07
58837.1,NaN,NaN,18.62,0.07
58846.1,19.42,0.1,18.62,0.07
58849.1,19.42,0.11,NaN,NaN
58849.2,NaN,NaN,18.61,0.06
58850.1,NaN,NaN,18.62,0.11
58850.2,19.36,0.15,NaN,NaN
58852.2,NaN,NaN,18.72,0.09
58853.1,19.69,0.21,NaN,NaN
58853.2,NaN,NaN,18.59,0.1
58854.1,NaN,NaN,18.77,0.18
58856.1,19.58,0.22,18.64,0.07
58856.2,NaN,NaN,18.68,0.08
58859.1,19.31,0.19,NaN,NaN
58859.2,NaN,NaN,18.62,0.07
58860.2,NaN,NaN,18.66,0.11
58862.1,19.74,0.14,NaN,NaN
58864.1,19.8,0.16,NaN,NaN
58871.1,NaN,NaN,18.76,0.12
58871.2,19.67,0.25,NaN,NaN
58872.1,NaN,NaN,18.77,0.1
58872.2,19.94,0.21,NaN,NaN
58874.1,NaN,NaN,18.87,0.08
58874.2,20.0,0.27,NaN,NaN
58875.1,19.97,0.15,18.83,0.08
58877.1,NaN,NaN,18.92,0.1
58878.1,NaN,NaN,18.97,0.17
58880.2,NaN,NaN,18.9,0.12
58881.1,NaN,NaN,18.98,0.1
58882.1,19.96,0.26,NaN,NaN
58884.1,NaN,NaN,18.78,0.24
58885.1,NaN,NaN,18.93,0.2
58887.1,NaN,NaN,19.02,0.15
58891.1,NaN,NaN,19.0,0.12
58892.1,NaN,NaN,19.25,0.15
58894.1,NaN,NaN,19.23,0.14
59018.5,NaN,NaN,20.48,0.2
59024.5,NaN,NaN,20.33,0.19
59026.5,NaN,NaN,20.56,0.24
59040.4,NaN,NaN,20.35,0.24
59042.5,NaN,NaN,20.43,0.22
59043.5,NaN,NaN,20.62,0.27
59044.5,NaN,NaN,20.37,0.26
59045.4,NaN,NaN,20.5,0.24
59046.4,NaN,NaN,20.81,0.28
59047.4,NaN,NaN,20.98,0.24
59048.4,NaN,NaN,20.64,0.26
59049.4,NaN,NaN,20.58,0.22
59050.5,NaN,NaN,20.57,0.21
59051.4,NaN,NaN,20.72,0.27
59052.4,NaN,NaN,20.65,0.2
