MJD,g,gerr,r,rerr
58803.5,18.8,0.19,NaN,NaN
58805.4,NaN,NaN,18.74,0.14
58806.4,18.55,0.09,NaN,NaN
58812.4,18.61,0.06,NaN,NaN
58833.2,19.09,0.19,NaN,NaN
58833.3,NaN,NaN,18.69,0.12
58836.2,19.37,0.11,NaN,NaN
58836.4,NaN,NaN,18.7,0.07
58852.1,19.58,0.24,NaN,NaN
58852.2,NaN,NaN,18.78,0.11
58855.2,19.37,0.25,NaN,NaN
58859.3,NaN,NaN,18.78,0.18
58860.2,NaN,NaN,18.77,0.12
58861.2,NaN,NaN,18.98,0.17
58863.2,19.87,0.14,NaN,NaN
58867.2,20.01,0.21,NaN,NaN
58871.2,19.91,0.12,18.92,0.12
58873.2,NaN,NaN,18.96,0.11
58874.2,NaN,NaN,19.08,0.18
58877.2,20.02,0.15,19.2,0.12
58880.2,NaN,NaN,19.14,0.16
58885.2,NaN,NaN,18.88,0.22
58893.2,20.25,0.17,NaN,NaN
58896.2,20.4,0.22,19.31,0.14
58899.1,NaN,NaN,19.39,0.15
58904.2,NaN,NaN,19.48,0.11
