MJD,g,gerr,r,rerr
58812.4,17.94,0.06,NaN,NaN
58823.4,18.36,0.14,NaN,NaN
58827.4,NaN,NaN,18.3,0.11
58830.4,NaN,NaN,18.41,0.08
58830.6,18.49,0.1,NaN,NaN
58833.4,NaN,NaN,18.39,0.1
58833.5,18.56,0.14,18.48,0.12
58836.5,NaN,NaN,18.47,0.07
58846.4,NaN,NaN,18.52,0.07
58846.5,18.98,0.11,NaN,NaN
58849.5,19.14,0.1,NaN,NaN
58850.4,19.16,0.17,NaN,NaN
58850.5,NaN,NaN,18.53,0.09
58851.5,19.16,0.14,18.54,0.08
58852.4,NaN,NaN,18.54,0.06
58852.5,19.26,0.11,NaN,NaN
58853.4,NaN,NaN,18.55,0.06
58853.5,19.21,0.09,NaN,NaN
58854.5,19.21,0.15,18.52,0.11
58855.4,NaN,NaN,18.62,0.1
58855.5,19.14,0.17,NaN,NaN
58859.3,NaN,NaN,18.5,0.1
58859.4,NaN,NaN,18.63,0.12
58859.5,19.26,0.19,NaN,NaN
58860.2,NaN,NaN,18.78,0.14
58860.4,NaN,NaN,18.61,0.13
58861.3,NaN,NaN,18.58,0.13
58862.3,NaN,NaN,18.64,0.1
58862.4,19.2,0.16,18.64,0.11
58863.4,NaN,NaN,18.64,0.1
58864.2,19.41,0.13,18.68,0.09
58866.4,19.45,0.12,18.66,0.08
58867.4,NaN,NaN,18.71,0.08
58871.2,19.66,0.16,NaN,NaN
58871.3,NaN,NaN,18.75,0.09
58872.2,19.67,0.17,NaN,NaN
58873.3,NaN,NaN,18.79,0.07
58873.4,19.7,0.12,NaN,NaN
58874.3,NaN,NaN,18.83,0.1
58874.4,19.76,0.14,NaN,NaN
58875.2,19.73,0.16,NaN,NaN
58875.3,NaN,NaN,18.88,0.08
58876.2,19.75,0.16,NaN,NaN
58876.3,NaN,NaN,18.88,0.07
58877.2,19.86,0.18,NaN,NaN
58877.3,NaN,NaN,18.93,0.1
58878.3,NaN,NaN,18.98,0.11
58879.2,20.11,0.29,NaN,NaN
58879.3,NaN,NaN,19.0,0.16
58880.2,NaN,NaN,19.01,0.11
58880.3,20.01,0.19,NaN,NaN
58881.3,NaN,NaN,19.06,0.1
58883.2,NaN,NaN,19.18,0.2
58884.2,NaN,NaN,19.05,0.24
58885.2,NaN,NaN,19.27,0.26
58886.3,NaN,NaN,19.45,0.16
58887.2,NaN,NaN,19.27,0.16
58891.3,NaN,NaN,19.64,0.16
58893.3,NaN,NaN,19.79,0.16
58894.3,NaN,NaN,19.86,0.16
58895.3,NaN,NaN,19.87,0.17
58896.3,NaN,NaN,19.95,0.18
58898.3,NaN,NaN,19.82,0.18
58904.2,NaN,NaN,19.87,0.15
58909.3,NaN,NaN,19.9,0.14
58944.2,NaN,NaN,19.81,0.26
58955.2,NaN,NaN,20.43,0.21
