MJD,g,gerr,r,rerr
58827.4,NaN,NaN,19.05,0.13
58827.6,18.8,0.08,NaN,NaN
58830.4,NaN,NaN,18.71,0.12
58830.5,NaN,NaN,18.85,0.12
58830.6,18.55,0.08,NaN,NaN
58835.5,18.38,0.09,NaN,NaN
58836.5,NaN,NaN,18.53,0.1
58836.6,18.27,0.08,NaN,NaN
58838.5,18.26,0.23,18.48,0.11
58846.4,NaN,NaN,18.41,0.08
58846.5,18.29,0.07,18.43,0.07
58849.4,NaN,NaN,18.39,0.07
58849.5,18.34,0.07,NaN,NaN
58852.4,NaN,NaN,18.5,0.06
58852.5,18.33,0.06,NaN,NaN
58853.5,18.41,0.07,NaN,NaN
58854.5,18.51,0.12,NaN,NaN
58855.5,18.4,0.07,18.48,0.1
58859.3,NaN,NaN,18.68,0.14
58860.4,NaN,NaN,18.47,0.11
58863.4,NaN,NaN,18.59,0.14
58866.4,18.64,0.08,18.75,0.11
58871.3,NaN,NaN,18.64,0.1
58871.4,18.71,0.07,NaN,NaN
58871.5,NaN,NaN,18.65,0.12
58872.3,NaN,NaN,18.8,0.15
58873.3,NaN,NaN,18.61,0.08
58873.4,18.78,0.09,NaN,NaN
58874.3,NaN,NaN,18.72,0.09
58874.4,18.74,0.06,NaN,NaN
58875.3,NaN,NaN,18.67,0.09
58875.4,18.69,0.1,NaN,NaN
58876.3,NaN,NaN,18.68,0.09
58876.4,18.8,0.08,NaN,NaN
58877.3,NaN,NaN,18.73,0.09
58877.4,18.86,0.12,NaN,NaN
58878.3,NaN,NaN,18.75,0.09
58878.4,18.89,0.14,NaN,NaN
58879.3,18.86,0.14,NaN,NaN
58880.3,NaN,NaN,18.5,0.1
58880.4,18.79,0.11,NaN,NaN
58881.3,NaN,NaN,18.57,0.09
58881.4,18.88,0.09,NaN,NaN
58883.3,NaN,NaN,18.76,0.12
58883.4,18.96,0.12,NaN,NaN
58883.5,18.79,0.13,NaN,NaN
58884.3,18.99,0.14,NaN,NaN
58885.3,18.96,0.13,NaN,NaN
58886.2,18.87,0.18,NaN,NaN
58886.3,NaN,NaN,18.57,0.1
58886.4,19.09,0.17,NaN,NaN
58887.2,18.99,0.18,NaN,NaN
58890.4,NaN,NaN,18.59,0.14
58891.2,18.98,0.11,NaN,NaN
58891.3,NaN,NaN,18.69,0.11
58892.2,NaN,NaN,18.89,0.1
58893.2,19.14,0.11,NaN,NaN
58893.3,NaN,NaN,18.78,0.07
58894.3,19.12,0.12,18.88,0.1
58895.2,19.11,0.1,NaN,NaN
58896.3,NaN,NaN,18.85,0.09
58898.3,19.15,0.11,18.82,0.1
58899.3,NaN,NaN,18.87,0.08
58899.4,19.18,0.11,NaN,NaN
58900.3,19.26,0.12,18.9,0.07
58903.2,NaN,NaN,18.85,0.09
58903.3,19.38,0.12,NaN,NaN
58903.4,NaN,NaN,19.02,0.11
58904.2,NaN,NaN,18.93,0.1
58904.3,19.49,0.16,NaN,NaN
58906.3,19.41,0.18,NaN,NaN
58909.3,19.57,0.17,18.91,0.11
58911.4,19.67,0.2,NaN,NaN
58912.3,19.69,0.19,NaN,NaN
58912.4,NaN,NaN,19.03,0.12
58913.2,NaN,NaN,19.18,0.12
58939.2,NaN,NaN,19.6,0.18
