MJD,g,gerr,r,rerr
58833.2,NaN,NaN,18.6,0.1
58833.4,NaN,NaN,18.38,0.08
58837.2,17.54,0.04,17.63,0.06
58851.2,18.36,0.18,NaN,NaN
58854.2,NaN,NaN,18.2,0.15
58859.1,18.7,0.16,NaN,NaN
58859.2,NaN,NaN,18.23,0.07
58860.2,NaN,NaN,18.21,0.13
58861.2,NaN,NaN,18.21,0.07
58862.2,18.67,0.07,18.23,0.05
58872.1,NaN,NaN,18.18,0.06
58872.2,18.8,0.08,NaN,NaN
58875.2,18.75,0.08,18.11,0.05
58876.2,18.77,0.09,NaN,NaN
58878.2,18.83,0.14,NaN,NaN
58879.2,18.79,0.11,NaN,NaN
58881.1,NaN,NaN,18.18,0.08
58885.2,NaN,NaN,18.33,0.13
58891.1,NaN,NaN,18.6,0.07
58891.2,19.56,0.14,NaN,NaN
58894.1,NaN,NaN,18.75,0.07
58905.2,NaN,NaN,19.28,0.26
58913.2,NaN,NaN,19.2,0.17
