MJD,g,gerr,r,rerr
58833.4,NaN,NaN,18.69,0.12
58837.4,NaN,NaN,18.23,0.12
58837.5,18.22,0.07,18.34,0.08
58846.4,NaN,NaN,18.25,0.06
58846.5,18.33,0.06,18.26,0.06
58849.4,NaN,NaN,18.26,0.06
58849.5,18.36,0.08,NaN,NaN
58851.4,NaN,NaN,18.21,0.09
58852.4,NaN,NaN,18.3,0.05
58852.5,18.43,0.06,NaN,NaN
58854.5,18.45,0.14,NaN,NaN
58855.5,18.38,0.08,18.22,0.07
58859.3,NaN,NaN,18.13,0.11
58860.3,NaN,NaN,18.14,0.1
58860.4,NaN,NaN,18.31,0.08
58862.4,NaN,NaN,18.24,0.08
58864.3,NaN,NaN,18.27,0.06
58864.4,18.66,0.09,NaN,NaN
58867.4,18.68,0.09,18.22,0.07
58871.3,NaN,NaN,18.31,0.07
58871.4,18.76,0.11,NaN,NaN
58873.3,NaN,NaN,18.33,0.07
58873.4,18.88,0.1,NaN,NaN
58874.3,NaN,NaN,18.32,0.06
58874.4,18.84,0.13,NaN,NaN
58875.3,NaN,NaN,18.34,0.07
58875.4,18.8,0.1,NaN,NaN
58876.3,NaN,NaN,18.31,0.06
58876.4,18.85,0.09,NaN,NaN
58877.4,18.84,0.09,18.3,0.09
58878.3,NaN,NaN,18.31,0.09
58878.4,18.77,0.09,NaN,NaN
58879.3,18.79,0.14,18.24,0.1
58880.3,NaN,NaN,18.35,0.07
58880.4,18.87,0.09,NaN,NaN
58881.4,18.88,0.09,18.26,0.05
58883.3,NaN,NaN,18.32,0.08
58883.4,19.01,0.12,NaN,NaN
58884.3,18.89,0.17,NaN,NaN
58884.5,NaN,NaN,18.28,0.12
58885.2,NaN,NaN,18.27,0.14
58885.3,18.95,0.17,NaN,NaN
58886.2,18.99,0.15,NaN,NaN
58886.3,NaN,NaN,18.26,0.09
58887.3,19.04,0.18,NaN,NaN
58888.3,18.92,0.19,NaN,NaN
58888.4,NaN,NaN,18.19,0.1
58890.3,19.04,0.2,NaN,NaN
58890.4,NaN,NaN,18.3,0.09
58891.2,18.97,0.11,NaN,NaN
58891.3,NaN,NaN,18.32,0.07
58892.2,18.98,0.11,NaN,NaN
58893.2,19.07,0.09,NaN,NaN
58893.3,NaN,NaN,18.37,0.06
58894.3,18.96,0.1,18.33,0.07
58895.2,19.02,0.1,NaN,NaN
58895.3,NaN,NaN,18.35,0.07
58896.3,NaN,NaN,18.33,0.07
58899.3,NaN,NaN,18.38,0.08
58899.4,19.08,0.13,NaN,NaN
58900.2,NaN,NaN,18.31,0.06
58903.3,19.12,0.1,NaN,NaN
58903.4,NaN,NaN,18.33,0.07
58906.2,NaN,NaN,18.27,0.08
58906.3,19.04,0.11,NaN,NaN
58909.3,19.43,0.24,NaN,NaN
58912.3,19.1,0.15,NaN,NaN
58912.4,NaN,NaN,18.35,0.08
58915.2,19.22,0.16,NaN,NaN
58915.4,NaN,NaN,18.35,0.08
58936.3,19.83,0.15,NaN,NaN
58939.2,NaN,NaN,18.83,0.1
58944.2,NaN,NaN,19.16,0.13
58954.2,NaN,NaN,19.67,0.14
58965.2,NaN,NaN,19.98,0.16
58968.2,NaN,NaN,19.89,0.16
58971.2,NaN,NaN,19.94,0.21
58974.2,NaN,NaN,19.94,0.2
58980.2,NaN,NaN,20.11,0.2
