MJD,g,gerr,r,rerr
58852.5,18.49,0.06,NaN,NaN
58852.6,NaN,NaN,18.6,0.06
58855.5,18.39,0.07,NaN,NaN
58855.6,NaN,NaN,18.44,0.06
58859.5,NaN,NaN,18.09,0.06
58862.4,NaN,NaN,18.41,0.12
58862.5,18.28,0.1,NaN,NaN
58867.4,18.74,0.09,NaN,NaN
58867.5,NaN,NaN,18.59,0.08
58872.4,19.01,0.1,NaN,NaN
58872.6,NaN,NaN,18.71,0.07
58875.5,NaN,NaN,18.78,0.08
58878.5,19.27,0.14,NaN,NaN
58878.6,NaN,NaN,18.88,0.12
58881.5,19.47,0.13,18.99,0.11
58884.5,19.77,0.17,19.2,0.12
58887.4,19.86,0.27,NaN,NaN
58887.5,NaN,NaN,19.31,0.16
58890.5,NaN,NaN,19.46,0.3
58893.5,NaN,NaN,19.66,0.14
58898.5,NaN,NaN,19.88,0.12
58899.5,NaN,NaN,19.92,0.12
58900.4,20.84,0.25,19.68,0.23
58901.4,NaN,NaN,20.14,0.24
58903.4,NaN,NaN,20.08,0.14
58904.5,NaN,NaN,19.9,0.15
58906.5,NaN,NaN,20.11,0.21
58908.5,NaN,NaN,20.26,0.18
58911.5,NaN,NaN,20.11,0.2
58912.5,NaN,NaN,20.12,0.16
58913.5,NaN,NaN,20.02,0.26
58914.4,NaN,NaN,20.08,0.24
58936.3,20.01,0.17,NaN,NaN
58936.4,NaN,NaN,19.4,0.11
58939.4,19.77,0.25,19.44,0.22
58940.4,20.09,0.29,NaN,NaN
58941.4,NaN,NaN,19.35,0.14
58944.5,19.81,0.22,NaN,NaN
58954.3,20.54,0.2,19.64,0.12
58955.3,20.45,0.25,NaN,NaN
58956.3,NaN,NaN,19.65,0.17
58962.3,20.55,0.2,19.86,0.14
58965.3,20.58,0.25,19.69,0.13
58968.2,20.52,0.29,NaN,NaN
58968.4,NaN,NaN,19.82,0.14
58971.2,NaN,NaN,19.64,0.16
58973.3,NaN,NaN,19.7,0.2
58974.3,NaN,NaN,19.62,0.17
58976.3,NaN,NaN,19.49,0.19
58977.2,NaN,NaN,19.52,0.27
58980.3,NaN,NaN,19.95,0.12
58985.2,20.72,0.21,NaN,NaN
58991.2,NaN,NaN,20.16,0.18
58994.2,NaN,NaN,20.01,0.15
58997.3,NaN,NaN,20.06,0.17
59004.2,NaN,NaN,19.59,0.19
59009.2,NaN,NaN,20.19,0.21
59017.2,21.12,0.29,20.37,0.19
59020.2,NaN,NaN,20.35,0.17
59026.2,NaN,NaN,20.25,0.18
59032.2,NaN,NaN,19.85,0.17
59038.2,NaN,NaN,20.22,0.19
59041.2,NaN,NaN,20.15,0.21
