MJD,g,gerr,r,rerr
58861.5,NaN,NaN,16.94,0.04
58873.4,17.09,0.04,NaN,NaN
58873.5,NaN,NaN,16.85,0.04
58876.4,17.18,0.04,16.88,0.03
58879.5,17.3,0.05,NaN,NaN
58883.5,17.42,0.06,16.94,0.04
58887.4,17.64,0.07,NaN,NaN
58892.3,NaN,NaN,17.06,0.04
58895.4,NaN,NaN,17.1,0.04
58899.3,NaN,NaN,17.13,0.03
58899.4,17.82,0.06,NaN,NaN
58905.3,17.84,0.08,NaN,NaN
58908.3,17.79,0.06,NaN,NaN
58908.4,NaN,NaN,17.13,0.04
58911.4,17.83,0.08,NaN,NaN
58914.4,17.87,0.09,17.07,0.03
58941.3,19.21,0.12,NaN,NaN
58941.4,NaN,NaN,18.09,0.07
58954.2,NaN,NaN,18.48,0.05
58963.2,19.68,0.12,NaN,NaN
58966.2,19.76,0.16,NaN,NaN
58978.2,19.87,0.21,NaN,NaN
58981.2,NaN,NaN,18.74,0.07
58986.2,19.89,0.14,18.77,0.07
58992.2,19.97,0.22,18.87,0.08
58995.2,19.79,0.16,18.96,0.08
58998.2,20.2,0.22,NaN,NaN
59011.2,20.01,0.21,NaN,NaN
