MJD,g,gerr,r,rerr
58866.2,NaN,NaN,17.87,0.06
58867.2,17.8,0.05,NaN,NaN
58871.2,17.76,0.05,17.75,0.04
58873.2,NaN,NaN,17.74,0.05
58874.2,17.8,0.07,NaN,NaN
58876.2,17.91,0.07,NaN,NaN
58877.2,17.87,0.06,17.73,0.06
58879.1,17.92,0.1,NaN,NaN
58880.1,17.95,0.06,NaN,NaN
58880.2,NaN,NaN,17.71,0.06
58883.2,NaN,NaN,18.04,0.1
58886.1,NaN,NaN,17.73,0.05
58886.2,17.98,0.1,NaN,NaN
58890.2,18.44,0.17,17.78,0.05
58894.1,NaN,NaN,17.82,0.05
58898.1,NaN,NaN,17.81,0.05
58898.2,18.39,0.07,NaN,NaN
58904.1,18.4,0.06,NaN,NaN
58904.2,NaN,NaN,17.77,0.05
58911.2,NaN,NaN,17.9,0.08
58914.1,NaN,NaN,17.73,0.11
