MJD,g,gerr,r,rerr
58872.4,19.02,0.1,NaN,NaN
58872.6,NaN,NaN,18.75,0.1
58875.5,18.9,0.08,NaN,NaN
58875.6,NaN,NaN,18.68,0.06
58878.5,18.91,0.1,NaN,NaN
58878.6,NaN,NaN,18.56,0.07
58881.5,18.93,0.07,NaN,NaN
58881.6,NaN,NaN,18.63,0.05
58884.5,18.91,0.09,NaN,NaN
58884.6,NaN,NaN,18.6,0.06
58887.5,19.02,0.15,18.6,0.06
58890.5,19.14,0.18,18.53,0.13
58893.5,NaN,NaN,18.58,0.06
58898.5,NaN,NaN,18.63,0.05
58903.5,NaN,NaN,18.6,0.05
58911.4,19.57,0.12,NaN,NaN
58911.5,NaN,NaN,18.55,0.06
58914.5,19.38,0.14,18.6,0.05
58936.5,NaN,NaN,18.76,0.05
58939.4,NaN,NaN,18.76,0.16
58941.4,NaN,NaN,18.74,0.05
58941.5,19.92,0.13,NaN,NaN
58943.4,19.84,0.17,NaN,NaN
58943.5,NaN,NaN,18.71,0.07
58944.4,NaN,NaN,18.73,0.08
58954.5,NaN,NaN,18.83,0.08
58955.4,20.28,0.16,18.75,0.06
58961.4,NaN,NaN,18.87,0.07
58962.3,NaN,NaN,18.92,0.08
58962.4,20.28,0.2,NaN,NaN
58963.3,20.14,0.13,NaN,NaN
58964.4,20.25,0.19,18.9,0.08
58965.4,20.06,0.17,18.88,0.04
58966.4,20.13,0.17,18.91,0.05
58967.3,20.16,0.19,NaN,NaN
58967.4,NaN,NaN,18.93,0.06
58968.3,20.33,0.18,NaN,NaN
58970.3,20.2,0.18,NaN,NaN
58970.4,NaN,NaN,18.9,0.05
58971.4,NaN,NaN,18.96,0.1
58972.3,20.25,0.26,NaN,NaN
58973.3,20.12,0.27,18.95,0.09
58974.3,NaN,NaN,18.97,0.13
58979.3,NaN,NaN,19.08,0.11
58980.3,NaN,NaN,19.08,0.06
58992.3,NaN,NaN,19.37,0.1
58998.3,NaN,NaN,19.62,0.13
