MJD,g,gerr,r,rerr
58894.5,NaN,NaN,19.42,0.13
58898.5,NaN,NaN,18.49,0.06
58903.5,18.11,0.07,NaN,NaN
58908.5,NaN,NaN,18.1,0.07
58911.5,18.26,0.07,18.04,0.08
58914.5,NaN,NaN,18.07,0.05
58936.5,19.26,0.1,18.27,0.08
58939.4,NaN,NaN,18.33,0.2
58939.5,19.12,0.22,NaN,NaN
58943.4,19.48,0.15,NaN,NaN
58954.4,NaN,NaN,18.41,0.09
58961.4,NaN,NaN,18.52,0.09
58963.3,19.9,0.16,NaN,NaN
58964.3,19.8,0.15,18.5,0.06
58967.3,19.89,0.16,NaN,NaN
58967.4,NaN,NaN,18.6,0.07
58970.3,19.86,0.15,NaN,NaN
58970.4,NaN,NaN,18.65,0.09
58973.2,19.67,0.21,NaN,NaN
58973.3,NaN,NaN,18.66,0.08
58976.3,NaN,NaN,18.63,0.15
58979.3,20.06,0.28,18.72,0.08
58985.3,NaN,NaN,18.78,0.09
58991.3,NaN,NaN,18.87,0.08
58995.2,NaN,NaN,18.92,0.08
58995.3,20.37,0.18,NaN,NaN
58998.3,20.32,0.2,18.91,0.08
59001.2,NaN,NaN,19.08,0.11
59001.4,20.27,0.3,NaN,NaN
59009.2,NaN,NaN,19.15,0.11
59012.2,20.85,0.29,19.17,0.09
59016.2,NaN,NaN,19.28,0.11
59019.2,NaN,NaN,19.38,0.12
59022.2,NaN,NaN,19.57,0.14
59025.2,NaN,NaN,19.46,0.15
59028.2,NaN,NaN,19.59,0.14
59031.2,NaN,NaN,19.63,0.19
59037.2,NaN,NaN,19.89,0.22
59040.2,NaN,NaN,20.02,0.17
59046.2,NaN,NaN,20.25,0.27
59051.2,NaN,NaN,20.12,0.21
