MJD,g,gerr,r,rerr
58898.4,NaN,NaN,18.63,0.09
58899.4,18.45,0.1,NaN,NaN
58899.5,NaN,NaN,18.46,0.08
58900.4,18.44,0.08,18.42,0.08
58901.4,NaN,NaN,18.45,0.07
58903.4,18.47,0.09,18.38,0.09
58904.4,18.41,0.11,NaN,NaN
58904.5,NaN,NaN,18.34,0.1
58905.5,18.52,0.15,NaN,NaN
58906.4,18.47,0.11,18.42,0.1
58908.4,18.6,0.1,NaN,NaN
58908.5,NaN,NaN,18.52,0.09
58911.4,18.68,0.11,18.47,0.09
58912.5,18.72,0.12,18.45,0.09
58913.3,18.72,0.1,NaN,NaN
58913.5,NaN,NaN,18.53,0.09
58914.4,18.82,0.11,18.52,0.08
58915.4,18.78,0.13,18.45,0.08
58936.3,19.43,0.13,NaN,NaN
58936.4,NaN,NaN,18.79,0.09
58939.3,19.29,0.19,NaN,NaN
58939.4,NaN,NaN,18.8,0.28
58940.4,19.43,0.18,18.65,0.16
58941.4,NaN,NaN,18.81,0.1
58944.4,19.55,0.26,18.69,0.12
58954.3,NaN,NaN,18.82,0.1
58955.3,19.54,0.14,NaN,NaN
58956.3,NaN,NaN,18.82,0.09
58962.2,19.73,0.17,NaN,NaN
58962.3,NaN,NaN,18.85,0.09
58965.3,19.91,0.16,18.89,0.09
58968.3,19.79,0.16,NaN,NaN
58968.4,NaN,NaN,18.92,0.1
58971.2,NaN,NaN,18.88,0.11
58974.3,NaN,NaN,19.05,0.12
58976.3,NaN,NaN,18.97,0.15
58980.3,NaN,NaN,19.08,0.09
