MJD,g,gerr,r,rerr
58913.1,17.13,0.05,NaN,NaN
58913.2,NaN,NaN,17.3,0.06
58915.1,NaN,NaN,16.78,0.04
58917.2,16.65,0.04,NaN,NaN
59046.4,NaN,NaN,18.53,0.07
59046.5,19.84,0.19,NaN,NaN
59049.4,NaN,NaN,18.51,0.06
59049.5,19.94,0.14,NaN,NaN
59052.4,NaN,NaN,18.52,0.07
59052.5,20.04,0.15,NaN,NaN
59055.4,20.05,0.18,NaN,NaN
59055.5,NaN,NaN,18.55,0.05
59060.5,20.03,0.2,NaN,NaN
59061.4,NaN,NaN,18.62,0.09
59062.4,20.08,0.18,NaN,NaN
59062.5,NaN,NaN,18.67,0.06
59064.4,NaN,NaN,18.78,0.11
59065.4,NaN,NaN,18.62,0.12
59066.5,NaN,NaN,18.69,0.09
59068.4,NaN,NaN,18.77,0.09
59068.5,20.04,0.25,NaN,NaN
59072.4,20.05,0.24,NaN,NaN
59072.5,NaN,NaN,18.7,0.08
59076.4,NaN,NaN,18.78,0.07
59076.5,20.22,0.2,NaN,NaN
59077.4,20.31,0.2,NaN,NaN
59077.5,NaN,NaN,18.79,0.06
59079.4,NaN,NaN,18.85,0.27
59080.4,20.21,0.2,NaN,NaN
59080.5,20.3,0.21,18.89,0.09
59081.4,NaN,NaN,18.86,0.07
59081.5,20.27,0.2,18.84,0.06
59082.5,NaN,NaN,18.9,0.06
59083.5,NaN,NaN,18.93,0.08
59084.5,20.35,0.15,18.93,0.09
59085.4,20.29,0.19,NaN,NaN
59085.5,NaN,NaN,18.94,0.08
59086.4,NaN,NaN,18.88,0.11
59086.5,20.03,0.26,NaN,NaN
59088.4,NaN,NaN,18.98,0.07
59088.5,20.45,0.3,NaN,NaN
59089.4,NaN,NaN,18.94,0.08
59089.5,20.27,0.22,NaN,NaN
59090.5,NaN,NaN,18.99,0.07
59091.5,NaN,NaN,19.02,0.07
59093.4,NaN,NaN,18.93,0.13
59094.4,NaN,NaN,19.04,0.13
59095.4,NaN,NaN,18.9,0.09
59097.5,NaN,NaN,19.04,0.14
59106.4,20.35,0.25,19.15,0.1
59107.4,20.35,0.24,NaN,NaN
59109.4,NaN,NaN,19.24,0.12
59110.4,NaN,NaN,19.14,0.09
59112.4,NaN,NaN,19.32,0.11
59114.4,NaN,NaN,19.32,0.13
59115.4,20.81,0.23,19.35,0.1
59116.4,NaN,NaN,19.32,0.13
59117.4,NaN,NaN,19.35,0.09
59118.3,NaN,NaN,19.29,0.09
59118.5,20.48,0.22,NaN,NaN
59121.5,20.62,0.24,19.42,0.13
59123.3,NaN,NaN,19.18,0.14
59124.3,NaN,NaN,19.56,0.19
59125.5,NaN,NaN,19.47,0.13
59129.5,NaN,NaN,19.39,0.13
59134.4,NaN,NaN,19.42,0.12
59136.5,NaN,NaN,19.61,0.12
59138.4,NaN,NaN,19.67,0.1
59140.4,20.7,0.24,19.62,0.1
59142.4,20.85,0.25,19.77,0.1
59144.4,NaN,NaN,19.72,0.11
59152.4,NaN,NaN,19.69,0.23
59157.4,NaN,NaN,19.71,0.24
59164.3,NaN,NaN,20.0,0.19
59168.3,NaN,NaN,20.13,0.2
59170.3,NaN,NaN,20.26,0.18
59176.3,NaN,NaN,20.0,0.19
59189.2,NaN,NaN,20.39,0.26
59194.2,NaN,NaN,20.43,0.18
59202.3,NaN,NaN,20.27,0.19
