MJD,g,gerr,r,rerr
58936.4,NaN,NaN,17.99,0.06
58939.4,17.92,0.09,18.03,0.11
58943.4,18.03,0.06,NaN,NaN
58943.5,NaN,NaN,17.95,0.06
58953.4,NaN,NaN,17.91,0.07
58956.3,NaN,NaN,17.93,0.05
58956.4,18.46,0.07,NaN,NaN
58962.4,18.69,0.08,NaN,NaN
58965.3,NaN,NaN,18.04,0.06
58965.4,18.84,0.08,NaN,NaN
58968.4,NaN,NaN,18.14,0.06
58971.4,NaN,NaN,18.21,0.06
58972.4,NaN,NaN,18.18,0.06
58974.3,NaN,NaN,18.17,0.09
58974.5,19.04,0.13,NaN,NaN
58980.3,NaN,NaN,18.27,0.08
58980.4,19.27,0.16,NaN,NaN
58984.4,NaN,NaN,18.33,0.07
58985.3,19.34,0.12,NaN,NaN
58985.4,NaN,NaN,18.38,0.07
58986.3,NaN,NaN,18.43,0.06
58986.4,19.43,0.1,NaN,NaN
58987.3,NaN,NaN,18.4,0.06
58987.4,19.55,0.1,NaN,NaN
58991.3,19.56,0.12,18.49,0.06
58992.3,19.58,0.16,18.52,0.07
58993.3,19.73,0.12,18.55,0.07
58994.3,NaN,NaN,18.6,0.07
58994.4,19.64,0.12,NaN,NaN
58995.3,19.57,0.11,18.57,0.06
58996.3,NaN,NaN,18.59,0.07
58997.3,NaN,NaN,18.61,0.07
58998.3,NaN,NaN,18.62,0.07
58998.4,19.87,0.11,NaN,NaN
58999.2,19.84,0.19,NaN,NaN
58999.3,19.91,0.17,18.68,0.06
59000.3,19.88,0.14,NaN,NaN
59000.4,19.72,0.19,NaN,NaN
59001.3,NaN,NaN,18.7,0.09
59001.4,19.86,0.15,NaN,NaN
59004.3,NaN,NaN,18.76,0.11
59008.3,NaN,NaN,18.98,0.11
59009.3,20.25,0.24,NaN,NaN
59011.3,20.24,0.15,18.98,0.07
59014.2,NaN,NaN,19.08,0.1
59017.3,20.73,0.18,19.23,0.1
59020.2,20.79,0.26,NaN,NaN
59020.3,NaN,NaN,19.42,0.1
59023.2,21.02,0.26,19.67,0.11
59024.2,NaN,NaN,19.76,0.12
59026.3,NaN,NaN,20.08,0.17
59038.2,NaN,NaN,20.59,0.23
59041.2,NaN,NaN,20.51,0.26
59044.2,NaN,NaN,20.37,0.21
59047.2,NaN,NaN,20.41,0.18
