MJD,g,gerr,r,rerr
58939.2,NaN,NaN,17.7,0.06
58940.2,17.8,0.05,17.73,0.07
58944.2,NaN,NaN,17.81,0.05
58954.2,NaN,NaN,18.05,0.05
58963.2,18.74,0.08,NaN,NaN
58966.2,18.97,0.11,18.26,0.05
58969.2,NaN,NaN,18.36,0.2
58972.2,18.94,0.12,18.38,0.07
58975.2,19.1,0.15,18.42,0.1
58978.2,19.17,0.1,18.46,0.08
58981.2,19.21,0.1,18.39,0.08
58987.2,19.38,0.1,18.58,0.08
58996.2,19.47,0.14,18.57,0.07
58999.2,19.59,0.2,18.62,0.13
59124.4,NaN,NaN,19.94,0.24
59128.5,NaN,NaN,19.89,0.21
59130.5,NaN,NaN,20.1,0.24
59135.4,NaN,NaN,20.02,0.14
59139.5,NaN,NaN,20.33,0.2
59141.5,NaN,NaN,20.22,0.22
59143.5,NaN,NaN,20.32,0.2
59145.5,NaN,NaN,20.3,0.18
59150.5,NaN,NaN,20.33,0.21
