MJD,g,gerr,r,rerr
58943.4,18.76,0.11,NaN,NaN
58955.4,NaN,NaN,18.51,0.08
58963.4,19.1,0.12,NaN,NaN
58966.4,NaN,NaN,18.58,0.07
58973.3,NaN,NaN,18.65,0.09
58978.3,NaN,NaN,18.67,0.15
58981.2,NaN,NaN,18.69,0.08
58986.4,19.42,0.1,NaN,NaN
58992.3,19.47,0.11,18.75,0.07
58995.2,NaN,NaN,18.74,0.07
58995.3,19.55,0.11,NaN,NaN
58998.3,19.62,0.1,18.81,0.08
59001.3,NaN,NaN,18.85,0.18
59011.2,NaN,NaN,19.12,0.09
59011.3,20.11,0.21,NaN,NaN
59014.2,NaN,NaN,19.43,0.11
59017.2,NaN,NaN,19.71,0.13
59020.2,20.72,0.23,20.15,0.21
