MJD,g,gerr,r,rerr
58941.4,20.51,0.3,NaN,NaN
58944.4,18.59,0.12,NaN,NaN
58954.3,NaN,NaN,18.72,0.1
58955.3,18.66,0.07,NaN,NaN
58962.2,18.79,0.09,NaN,NaN
58965.2,18.82,0.08,NaN,NaN
58965.3,NaN,NaN,18.83,0.08
58968.4,NaN,NaN,18.9,0.08
58971.2,NaN,NaN,18.83,0.09
58971.3,19.02,0.13,NaN,NaN
58974.2,19.02,0.13,18.99,0.12
58977.2,19.04,0.26,NaN,NaN
58980.2,19.36,0.1,NaN,NaN
58980.3,NaN,NaN,19.13,0.07
58985.2,19.48,0.12,NaN,NaN
58991.2,NaN,NaN,19.27,0.08
58991.3,19.54,0.14,NaN,NaN
58994.2,19.61,0.1,NaN,NaN
58997.3,NaN,NaN,19.32,0.11
59000.3,19.61,0.23,NaN,NaN
59004.2,NaN,NaN,19.32,0.16
59009.2,19.67,0.21,19.26,0.12
59012.2,19.94,0.16,19.3,0.1
59015.2,NaN,NaN,19.37,0.15
59019.2,NaN,NaN,19.33,0.1
59019.3,19.96,0.14,NaN,NaN
59022.2,NaN,NaN,19.36,0.11
59025.2,20.05,0.2,NaN,NaN
59028.2,19.94,0.21,19.33,0.13
59038.2,NaN,NaN,19.28,0.11
59038.3,20.05,0.29,NaN,NaN
59041.2,20.26,0.2,19.42,0.13
59045.2,NaN,NaN,19.37,0.12
