MJD,g,gerr,r,rerr
58943.4,19.02,0.17,NaN,NaN
58943.5,NaN,NaN,18.86,0.09
58954.4,19.11,0.14,NaN,NaN
58954.5,NaN,NaN,18.56,0.11
58956.5,NaN,NaN,18.48,0.08
58962.5,19.26,0.12,18.54,0.08
58965.4,19.38,0.11,NaN,NaN
58968.5,19.57,0.1,NaN,NaN
58971.4,19.66,0.12,18.54,0.09
58974.4,NaN,NaN,18.66,0.1
58974.5,19.81,0.18,NaN,NaN
58977.5,NaN,NaN,18.61,0.11
58980.5,NaN,NaN,18.8,0.09
58985.5,NaN,NaN,18.79,0.08
58991.4,19.94,0.13,NaN,NaN
58994.4,20.12,0.18,NaN,NaN
58997.4,20.26,0.17,NaN,NaN
59009.4,NaN,NaN,18.97,0.1
59012.3,NaN,NaN,19.02,0.08
59012.5,20.21,0.22,NaN,NaN
59013.4,NaN,NaN,19.08,0.1
59018.4,20.42,0.16,NaN,NaN
59022.4,20.45,0.17,NaN,NaN
59025.3,20.71,0.21,NaN,NaN
59028.3,NaN,NaN,19.21,0.13
59034.3,NaN,NaN,19.32,0.19
59034.4,NaN,NaN,19.31,0.12
59037.3,NaN,NaN,19.24,0.13
59038.3,NaN,NaN,19.4,0.14
59051.4,NaN,NaN,19.79,0.14
59059.4,NaN,NaN,20.1,0.16
