MJD,g,gerr,r,rerr
58944.4,19.04,0.15,NaN,NaN
58954.3,17.82,0.06,18.16,0.07
58955.3,17.79,0.05,NaN,NaN
58956.3,NaN,NaN,18.05,0.06
58962.2,17.85,0.06,NaN,NaN
58962.3,NaN,NaN,18.0,0.06
58965.3,17.92,0.06,18.02,0.07
58968.3,18.09,0.07,NaN,NaN
58968.4,NaN,NaN,18.12,0.05
58971.2,NaN,NaN,18.1,0.07
58971.3,18.12,0.06,NaN,NaN
58974.2,18.14,0.1,NaN,NaN
58974.3,NaN,NaN,18.19,0.06
58975.3,18.22,0.09,NaN,NaN
58976.3,NaN,NaN,18.25,0.11
58977.2,18.17,0.14,NaN,NaN
58980.2,18.27,0.07,NaN,NaN
58980.3,NaN,NaN,18.27,0.07
58985.2,18.38,0.07,NaN,NaN
58991.2,NaN,NaN,18.35,0.07
58994.2,NaN,NaN,18.42,0.07
58994.3,18.49,0.07,NaN,NaN
58997.2,NaN,NaN,18.61,0.09
59000.2,18.55,0.1,NaN,NaN
59004.2,18.61,0.09,NaN,NaN
59009.2,NaN,NaN,18.53,0.09
59009.3,18.82,0.12,NaN,NaN
59012.2,18.82,0.09,18.56,0.08
59017.2,NaN,NaN,18.56,0.08
59020.2,18.87,0.12,18.63,0.07
59023.2,19.01,0.1,NaN,NaN
59026.2,19.0,0.11,NaN,NaN
59029.2,19.0,0.14,NaN,NaN
59032.2,19.19,0.16,18.7,0.09
59038.2,NaN,NaN,18.8,0.12
59038.3,19.27,0.29,NaN,NaN
59041.2,19.31,0.12,18.73,0.09
59045.2,19.51,0.2,18.82,0.09
