MJD,g,gerr,r,rerr
58954.4,18.19,0.07,NaN,NaN
58954.5,NaN,NaN,17.98,0.07
58955.3,18.21,0.06,NaN,NaN
58956.4,NaN,NaN,18.05,0.08
58961.4,NaN,NaN,18.09,0.06
58963.4,18.43,0.07,NaN,NaN
58964.3,18.46,0.07,18.19,0.06
58965.3,NaN,NaN,18.16,0.06
58967.3,18.51,0.06,18.21,0.06
58969.3,NaN,NaN,18.14,0.13
58970.3,18.62,0.07,NaN,NaN
58970.4,NaN,NaN,18.25,0.06
58973.2,18.64,0.11,NaN,NaN
58973.3,NaN,NaN,18.22,0.07
58976.2,18.83,0.17,NaN,NaN
58976.3,NaN,NaN,18.22,0.1
58979.2,18.9,0.08,NaN,NaN
58979.3,NaN,NaN,18.36,0.08
58985.3,19.27,0.09,18.36,0.05
58991.3,19.36,0.12,NaN,NaN
58994.2,19.35,0.09,NaN,NaN
58994.3,NaN,NaN,18.49,0.07
58997.2,19.57,0.12,NaN,NaN
58998.3,NaN,NaN,18.54,0.08
59000.3,19.69,0.18,NaN,NaN
59009.2,NaN,NaN,18.73,0.1
59012.2,20.06,0.15,18.76,0.07
59015.2,NaN,NaN,18.8,0.07
59018.2,20.06,0.12,NaN,NaN
59021.2,NaN,NaN,18.92,0.09
59024.2,20.26,0.16,18.95,0.08
59027.2,20.57,0.3,19.06,0.13
59033.2,NaN,NaN,19.35,0.18
59036.3,NaN,NaN,19.29,0.18
59039.2,20.64,0.24,19.47,0.13
59042.2,NaN,NaN,19.68,0.13
59043.2,NaN,NaN,19.68,0.14
59044.2,NaN,NaN,19.69,0.12
59045.2,NaN,NaN,19.84,0.15
59046.2,NaN,NaN,20.15,0.2
59048.2,NaN,NaN,20.12,0.22
59049.2,NaN,NaN,20.31,0.24
59051.2,NaN,NaN,20.25,0.2
