MJD,g,gerr,r,rerr
58962.2,18.22,0.05,NaN,NaN
58962.3,NaN,NaN,18.42,0.07
58965.2,18.07,0.06,18.24,0.06
58968.2,18.06,0.06,18.1,0.06
58971.2,18.08,0.06,18.07,0.07
58972.2,NaN,NaN,18.12,0.06
58974.2,18.19,0.06,18.14,0.07
58977.2,18.28,0.1,18.05,0.08
58980.2,18.42,0.07,18.15,0.05
58985.2,18.6,0.08,NaN,NaN
58992.2,18.92,0.08,NaN,NaN
58995.2,18.98,0.08,18.3,0.07
58998.2,NaN,NaN,18.32,0.07
59004.2,NaN,NaN,18.4,0.09
59011.2,19.36,0.12,18.54,0.07
59014.2,19.39,0.13,18.6,0.06
59021.2,19.62,0.15,18.76,0.12
59024.2,19.69,0.23,18.71,0.09
59027.2,NaN,NaN,18.7,0.11
