MJD,g,gerr,r,rerr
58984.4,NaN,NaN,19.42,0.09
58985.3,19.2,0.08,NaN,NaN
58985.4,NaN,NaN,19.35,0.11
58986.3,NaN,NaN,19.25,0.09
58986.4,19.11,0.07,NaN,NaN
58987.3,NaN,NaN,19.19,0.11
58987.4,19.14,0.09,NaN,NaN
58991.3,19.14,0.09,19.1,0.08
58992.3,NaN,NaN,19.14,0.09
58993.3,19.05,0.09,19.11,0.1
58994.3,19.12,0.08,19.15,0.09
58995.3,NaN,NaN,19.12,0.1
58996.3,19.22,0.07,19.08,0.09
58997.3,NaN,NaN,19.12,0.11
58998.3,NaN,NaN,19.18,0.11
58998.4,19.27,0.08,NaN,NaN
58999.2,19.33,0.14,NaN,NaN
58999.3,19.32,0.11,19.03,0.11
59000.3,19.27,0.13,NaN,NaN
59000.4,19.28,0.13,NaN,NaN
59001.3,NaN,NaN,19.21,0.16
59001.4,19.36,0.13,NaN,NaN
59004.2,19.32,0.18,NaN,NaN
59004.3,NaN,NaN,19.34,0.21
59005.2,19.33,0.18,NaN,NaN
59008.3,NaN,NaN,19.2,0.13
59009.3,19.74,0.16,NaN,NaN
59011.3,19.64,0.12,19.18,0.1
59014.2,NaN,NaN,19.24,0.09
59017.3,19.85,0.1,19.31,0.08
59023.2,19.87,0.17,19.33,0.11
59024.2,NaN,NaN,19.38,0.09
59026.2,20.02,0.18,NaN,NaN
59026.3,NaN,NaN,19.28,0.15
59029.2,NaN,NaN,19.15,0.13
59032.2,NaN,NaN,19.24,0.13
59035.3,NaN,NaN,19.29,0.2
59038.2,20.16,0.22,19.36,0.1
59041.2,20.14,0.19,NaN,NaN
59041.3,NaN,NaN,19.34,0.12
59044.2,NaN,NaN,19.34,0.1
59047.2,20.17,0.14,19.31,0.1
59050.2,20.29,0.19,NaN,NaN
59050.3,NaN,NaN,19.34,0.12
59054.2,NaN,NaN,19.34,0.1
59057.2,NaN,NaN,19.37,0.12
59057.3,20.29,0.22,NaN,NaN
59063.2,NaN,NaN,19.44,0.16
59066.2,NaN,NaN,19.51,0.17
59067.2,NaN,NaN,19.51,0.13
59070.2,20.56,0.19,NaN,NaN
59072.2,20.75,0.3,19.69,0.15
59073.2,NaN,NaN,19.62,0.13
