MJD,g,gerr,r,rerr
58985.2,18.23,0.06,NaN,NaN
58992.2,17.92,0.05,18.05,0.06
58995.2,17.93,0.07,18.04,0.06
58998.2,18.0,0.05,18.07,0.06
59001.2,18.06,0.07,18.05,0.09
59004.2,18.13,0.06,17.97,0.06
59009.2,18.32,0.07,17.93,0.06
59012.2,NaN,NaN,18.06,0.07
59019.2,NaN,NaN,18.12,0.06
59019.3,18.79,0.08,NaN,NaN
59022.2,NaN,NaN,18.2,0.06
59025.2,18.95,0.08,NaN,NaN
59028.2,19.09,0.12,18.26,0.08
59031.2,19.15,0.12,NaN,NaN
59036.2,19.17,0.15,NaN,NaN
59036.3,NaN,NaN,18.41,0.09
59039.2,19.39,0.11,18.42,0.07
59042.2,19.36,0.12,18.49,0.08
59045.2,19.47,0.14,18.54,0.08
