MJD,g,gerr,r,rerr
58985.3,19.15,0.1,19.27,0.13
58985.4,NaN,NaN,19.2,0.13
58986.3,NaN,NaN,19.13,0.09
58986.4,18.99,0.1,NaN,NaN
58987.3,NaN,NaN,19.05,0.09
58987.4,19.0,0.1,NaN,NaN
58991.3,18.93,0.11,18.94,0.07
58992.3,18.95,0.09,18.93,0.07
58993.3,18.93,0.1,NaN,NaN
58994.3,18.98,0.09,18.99,0.1
58994.4,18.93,0.09,NaN,NaN
58995.3,NaN,NaN,18.98,0.09
58996.2,19.03,0.09,NaN,NaN
58996.3,NaN,NaN,18.97,0.11
58997.2,19.05,0.09,NaN,NaN
58997.3,NaN,NaN,19.0,0.11
58997.4,19.03,0.09,NaN,NaN
58998.3,NaN,NaN,18.91,0.09
58998.4,19.06,0.09,NaN,NaN
58999.3,19.04,0.12,18.95,0.14
59000.3,19.17,0.13,NaN,NaN
59000.4,19.09,0.14,18.98,0.25
59001.4,19.05,0.12,NaN,NaN
59004.2,19.16,0.15,NaN,NaN
59004.3,NaN,NaN,18.97,0.11
59005.3,NaN,NaN,19.09,0.22
59008.3,NaN,NaN,19.02,0.14
59009.2,NaN,NaN,18.97,0.14
59011.3,19.37,0.13,18.9,0.09
59012.3,19.35,0.15,18.95,0.09
59013.2,19.51,0.13,NaN,NaN
59013.3,NaN,NaN,19.01,0.11
59014.2,NaN,NaN,19.04,0.09
59014.3,19.35,0.12,NaN,NaN
59015.3,NaN,NaN,18.99,0.1
59017.3,19.61,0.13,19.15,0.1
59018.3,19.53,0.14,NaN,NaN
59019.2,NaN,NaN,19.05,0.1
59020.2,19.54,0.13,NaN,NaN
59020.3,NaN,NaN,19.19,0.1
59022.2,19.63,0.13,NaN,NaN
59022.3,NaN,NaN,19.13,0.09
59023.2,19.61,0.12,19.09,0.09
59024.2,NaN,NaN,19.07,0.08
59024.3,19.57,0.12,NaN,NaN
59025.2,19.68,0.13,19.14,0.11
59027.2,19.6,0.16,NaN,NaN
59027.3,NaN,NaN,19.14,0.11
59028.2,NaN,NaN,19.05,0.12
59028.4,19.53,0.19,NaN,NaN
59029.3,19.77,0.23,NaN,NaN
59030.3,19.74,0.21,NaN,NaN
59031.2,NaN,NaN,19.09,0.12
59032.2,NaN,NaN,19.18,0.11
59033.2,19.79,0.23,NaN,NaN
59033.3,NaN,NaN,19.08,0.13
59034.3,NaN,NaN,19.03,0.11
59035.3,NaN,NaN,19.3,0.21
59036.2,19.75,0.27,NaN,NaN
59036.3,NaN,NaN,19.17,0.14
59037.2,19.89,0.28,19.14,0.19
59038.2,NaN,NaN,19.17,0.09
59038.3,19.82,0.19,NaN,NaN
59039.2,19.83,0.16,19.15,0.1
59040.2,19.75,0.13,NaN,NaN
59040.3,NaN,NaN,19.19,0.1
59041.2,19.77,0.16,NaN,NaN
59041.3,NaN,NaN,19.22,0.1
59042.2,NaN,NaN,19.19,0.09
59042.3,19.96,0.14,NaN,NaN
59043.2,19.78,0.15,NaN,NaN
59043.3,NaN,NaN,19.23,0.11
59044.2,NaN,NaN,19.21,0.12
59044.3,19.76,0.19,NaN,NaN
59045.2,NaN,NaN,19.2,0.1
59046.2,NaN,NaN,19.19,0.1
59046.4,19.81,0.16,NaN,NaN
59047.3,20.04,0.21,19.22,0.12
59048.3,19.95,0.2,NaN,NaN
59048.4,NaN,NaN,19.18,0.11
59049.3,20.07,0.2,NaN,NaN
59050.3,NaN,NaN,19.32,0.13
59050.4,19.79,0.17,NaN,NaN
59051.3,19.88,0.19,NaN,NaN
59051.4,NaN,NaN,19.19,0.09
59052.3,20.0,0.15,19.18,0.09
59053.3,19.8,0.15,19.22,0.09
59054.3,NaN,NaN,19.18,0.1
59055.2,NaN,NaN,19.23,0.11
59055.3,19.93,0.14,NaN,NaN
59056.3,19.88,0.15,NaN,NaN
59056.4,NaN,NaN,19.27,0.15
59057.3,19.91,0.19,19.23,0.12
59062.2,NaN,NaN,19.19,0.12
59063.2,NaN,NaN,19.2,0.14
59063.3,NaN,NaN,19.25,0.17
59064.3,NaN,NaN,19.1,0.2
59065.3,NaN,NaN,19.29,0.23
59066.2,NaN,NaN,19.3,0.15
59067.3,NaN,NaN,19.33,0.16
59069.3,19.84,0.25,NaN,NaN
59070.2,NaN,NaN,19.34,0.1
59070.3,20.25,0.3,NaN,NaN
59073.2,NaN,NaN,19.45,0.14
59095.2,NaN,NaN,19.77,0.21
59099.2,NaN,NaN,19.88,0.19
